rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1930,13,11,6,38,44,95%,5%,-,10 Aug 2015,29 Sep 2017,15:50
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,29 Sep 2017,15:50
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,29 Sep 2017,15:50
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,29 Sep 2017,15:50
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,29 Sep 2017,15:50
6,AdmiralAdama,1752,32,18,10,81,103,83%,13%,4%,21 Mar 2015,29 Sep 2017,15:50
7,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,29 Sep 2017,15:50
8,STAD,1742,16,4,-,13,22,95%,5%,-,10 Apr 2016,29 Sep 2017,15:50
9,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,29 Sep 2017,15:50
10,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,29 Sep 2017,15:50
11,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,29 Sep 2017,15:50
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,29 Sep 2017,15:50
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,29 Sep 2017,15:50
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,29 Sep 2017,15:50
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,29 Sep 2017,15:50
16,ayrm,1698,20,17,9,89,96,72%,18%,10%,24 Oct 2015,29 Sep 2017,15:50
17,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,29 Sep 2017,15:50
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,29 Sep 2017,15:50
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,29 Sep 2017,15:50
20,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,29 Sep 2017,15:50
21,Mackbluey,1683,5,4,1,14,15,100%,-,-,14 Apr 2017,29 Sep 2017,15:50
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,29 Sep 2017,15:50
23,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,29 Sep 2017,15:50
24,PanzerKosstra,1675,27,20,14,104,126,80%,4%,16%,30 Oct 2015,29 Sep 2017,15:50
25,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,29 Sep 2017,15:50
26,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,29 Sep 2017,15:50
27,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,29 Sep 2017,15:50
28,oz0n3,1653,9,3,4,19,25,92%,8%,-,16 Oct 2015,29 Sep 2017,15:50
29,_Blackout_,1652,8,4,-,24,25,96%,4%,-,01 Jul 2016,29 Sep 2017,15:50
30,Rappo,1652,6,2,1,10,10,100%,-,-,04 May 2017,29 Sep 2017,15:50
31,Flappie,1649,10,7,6,47,55,85%,15%,-,09 Dec 2016,29 Sep 2017,15:50
32,McCoolxxx,1647,13,8,7,45,60,82%,7%,12%,19 Feb 2016,29 Sep 2017,15:50
33,Nightwind,1647,9,15,7,37,42,100%,-,-,09 Feb 2017,29 Sep 2017,15:50
34,SexxxyBastard69,1646,6,3,2,10,13,100%,-,-,07 Apr 2016,29 Sep 2017,15:50
35,Hazelsmasher,1642,11,4,-,18,22,86%,14%,-,24 Oct 2015,29 Sep 2017,15:50
36,Captain_Simian,1641,14,5,5,32,38,92%,5%,3%,25 Oct 2015,29 Sep 2017,15:50
37,Jimidy,1640,5,2,5,12,14,100%,-,-,27 Oct 2015,29 Sep 2017,15:50
38,Awen,1639,19,16,6,53,63,95%,5%,-,17 Nov 2016,29 Sep 2017,15:50
39,Radioactivity,1638,24,15,13,75,109,86%,7%,6%,20 Oct 2015,29 Sep 2017,15:50
40,ephogy,1638,16,4,3,27,43,79%,14%,7%,20 Oct 2015,29 Sep 2017,15:50
41,JimLeyland,1636,4,10,1,18,19,100%,-,-,20 Jan 2016,29 Sep 2017,15:50
42,Bunker_900,1634,4,8,5,20,27,89%,7%,4%,23 Oct 2015,29 Sep 2017,15:50
43,BigKillaB,1633,14,17,11,18,48,100%,-,-,14 Nov 2015,29 Sep 2017,15:50
44,Manager,1633,11,15,3,32,47,91%,6%,2%,01 Aug 2015,29 Sep 2017,15:50
45,Centralized,1633,3,2,3,10,10,100%,-,-,09 Feb 2017,29 Sep 2017,15:50
46,alexcata,1631,18,3,2,21,37,97%,3%,-,23 Oct 2015,29 Sep 2017,15:50
47,fox-alpha-one,1631,15,14,5,57,77,86%,10%,4%,26 Dec 2015,29 Sep 2017,15:50
48,Niverio,1630,40,34,18,69,174,83%,13%,4%,26 Oct 2015,29 Sep 2017,15:50
49,Psychodelic,1628,34,16,19,86,122,87%,11%,2%,24 May 2016,29 Sep 2017,15:50
50,broesph,1621,9,7,4,20,27,85%,4%,11%,08 Nov 2015,29 Sep 2017,15:50
51,Denzalo,1620,30,8,2,50,62,79%,19%,2%,22 Oct 2015,29 Sep 2017,15:50
52,FleetAdmiralShanley,1620,19,22,10,35,66,91%,9%,-,29 Dec 2015,29 Sep 2017,15:50
53,Flintstones,1620,18,1,1,19,27,81%,11%,7%,17 Oct 2015,29 Sep 2017,15:50
54,Seethestar,1617,12,-,-,11,13,100%,-,-,15 Oct 2015,29 Sep 2017,15:50
55,SuddenDeath,1617,7,10,7,25,41,85%,10%,5%,12 Nov 2015,29 Sep 2017,15:50
56,TwoLAgit2q,1616,9,10,12,60,80,86%,11%,3%,08 Apr 2016,29 Sep 2017,15:50
57,Japes,1616,9,4,3,19,21,90%,-,10%,17 Feb 2016,29 Sep 2017,15:50
58,KevlarGolem,1616,9,4,1,11,17,94%,6%,-,24 Oct 2015,29 Sep 2017,15:50
59,pscottwi,1615,8,6,6,15,24,100%,-,-,14 Oct 2015,29 Sep 2017,15:50
60,Eziekiel665,1609,11,5,3,29,31,90%,10%,-,21 Feb 2016,29 Sep 2017,15:50
61,Sydogg,1609,9,8,6,35,41,80%,12%,7%,26 Oct 2015,29 Sep 2017,15:50
62,Superclix,1608,27,14,12,45,76,91%,4%,5%,26 Mar 2016,29 Sep 2017,15:50
63,AdmNimitz,1608,10,9,15,38,45,100%,-,-,25 Oct 2015,29 Sep 2017,15:50
64,JohnnyMacDaddy,1604,8,-,-,7,9,100%,-,-,04 Oct 2016,29 Sep 2017,15:50
65,Ghetojunky,1602,13,2,-,11,18,89%,6%,6%,16 Oct 2015,29 Sep 2017,15:50
66,Yammy,1601,10,12,6,29,52,69%,4%,27%,14 Oct 2015,29 Sep 2017,15:50
67,pagsus,1600,14,11,5,43,59,90%,8%,2%,25 Jun 2016,29 Sep 2017,15:50
68,UMPUSTEN,1599,10,9,4,33,59,81%,17%,2%,24 Jun 2015,29 Sep 2017,15:50
69,Thebigbob,1598,9,13,3,25,33,91%,9%,-,23 Oct 2015,29 Sep 2017,15:50
70,Fibonacci,1598,6,5,3,18,25,100%,-,-,19 Oct 2015,29 Sep 2017,15:50
71,Jkatsalis,1595,17,9,5,25,36,97%,-,3%,17 Oct 2015,29 Sep 2017,15:50
72,PerAspera,1595,11,2,1,14,18,100%,-,-,06 Aug 2016,29 Sep 2017,15:50
73,Sadams25,1594,10,1,1,11,16,88%,6%,6%,17 Jan 2016,29 Sep 2017,15:50
74,nevalken,1590,9,3,4,15,22,100%,-,-,14 Oct 2015,29 Sep 2017,15:50
75,1008001,1588,15,5,13,34,50,86%,14%,-,24 Oct 2015,29 Sep 2017,15:50
76,Aqeel,1588,4,3,1,7,8,100%,-,-,27 Nov 2015,29 Sep 2017,15:50
77,Samborin,1587,11,-,-,10,12,100%,-,-,17 Oct 2015,29 Sep 2017,15:50
78,boondockbear,1587,10,3,2,19,24,96%,4%,-,17 Dec 2015,29 Sep 2017,15:50
79,Bubbling,1584,10,10,5,26,33,94%,3%,3%,01 Dec 2016,29 Sep 2017,15:50
80,Axl24Lax,1582,27,11,4,53,63,90%,2%,8%,07 Nov 2015,29 Sep 2017,15:50
81,Thydeon,1581,19,-,1,12,24,92%,8%,-,14 Jan 2016,29 Sep 2017,15:50
82,A  Noose,1581,16,5,3,23,28,89%,7%,4%,19 Oct 2015,29 Sep 2017,15:50
83,SadikJason,1581,6,19,3,36,43,81%,12%,7%,08 Nov 2015,29 Sep 2017,15:50
84,Erik,1580,19,10,2,12,32,100%,-,-,22 May 2016,29 Sep 2017,15:50
85,ida1,1579,8,1,1,16,18,100%,-,-,17 Dec 2016,29 Sep 2017,15:50
86,dustin722,1576,14,6,4,29,39,92%,3%,5%,24 Oct 2015,29 Sep 2017,15:50
87,Lagrangian,1574,9,2,-,12,19,100%,-,-,07 Dec 2016,29 Sep 2017,15:50
88,Nabby19,1573,12,3,2,16,23,87%,13%,-,16 Feb 2016,29 Sep 2017,15:50
89,TheStash,1572,16,10,3,19,51,84%,4%,12%,27 Apr 2015,29 Sep 2017,15:50
90,Fear the Sea,1570,24,23,8,119,135,89%,11%,-,18 Oct 2015,29 Sep 2017,15:50
91,ProfessorMurder,1570,5,3,1,11,15,93%,-,7%,22 Nov 2015,29 Sep 2017,15:50
92,BitterBlade72,1569,7,1,1,14,25,44%,12%,44%,27 Oct 2015,29 Sep 2017,15:50
93,Traph,1569,5,7,1,14,20,100%,-,-,25 Oct 2015,29 Sep 2017,15:50
94,dodo3442,1568,19,3,1,21,32,88%,13%,-,08 Jul 2016,29 Sep 2017,15:50
95,Dasit,1567,2,1,3,11,14,93%,-,7%,02 Dec 2016,29 Sep 2017,15:50
96,Daines,1565,9,6,-,17,19,95%,5%,-,26 Jun 2016,29 Sep 2017,15:50
97,Bungholio,1565,7,13,4,31,39,87%,8%,5%,07 Mar 2016,29 Sep 2017,15:50
98,outof,1565,7,4,2,9,16,100%,-,-,05 Oct 2015,29 Sep 2017,15:50
99,eramag,1564,20,11,7,33,48,96%,4%,-,02 Nov 2015,29 Sep 2017,15:50
100,FrancisUnderwood,1564,9,5,3,23,32,84%,13%,3%,10 Nov 2015,29 Sep 2017,15:50
101,Ghengis Don,1564,7,7,7,32,39,95%,3%,3%,15 Oct 2015,29 Sep 2017,15:50
102,Vodonos,1564,7,4,1,10,15,100%,-,-,25 Jan 2016,29 Sep 2017,15:50
103,Ember,1564,4,1,6,15,15,100%,-,-,24 Apr 2016,29 Sep 2017,15:50
104,pafepe,1564,2,4,4,11,29,41%,10%,48%,27 Oct 2015,29 Sep 2017,15:50
105,dengzi,1562,25,8,6,28,74,88%,12%,-,19 Feb 2015,29 Sep 2017,15:50
106,Life-Water-Rainbow,1562,12,5,4,15,36,75%,14%,11%,08 Dec 2015,29 Sep 2017,15:50
107,crunchfactor,1561,10,12,10,40,42,98%,2%,-,23 Jan 2016,29 Sep 2017,15:50
108,HoodedKangaroo,1561,7,6,8,34,39,90%,10%,-,19 Oct 2015,29 Sep 2017,15:50
109,The_Force,1560,7,8,2,21,29,93%,7%,-,25 Nov 2015,29 Sep 2017,15:50
110,Reynard,1559,3,5,1,15,17,94%,6%,-,04 Mar 2016,29 Sep 2017,15:50
111,dannyb2325,1557,23,12,21,92,106,90%,8%,2%,29 Oct 2015,29 Sep 2017,15:50
112,Hispanico,1557,19,12,2,26,41,95%,5%,-,22 Jan 2016,29 Sep 2017,15:50
113,ColonelBlair,1557,11,-,2,9,14,93%,7%,-,23 Nov 2015,29 Sep 2017,15:50
114,Deal_guy,1557,4,4,2,12,14,93%,7%,-,20 Mar 2016,29 Sep 2017,15:50
115,merekjackals,1557,3,7,7,31,33,91%,9%,-,26 Dec 2015,29 Sep 2017,15:50
116,Greystone,1556,16,6,5,32,40,88%,13%,-,23 Oct 2015,29 Sep 2017,15:50
117,Tooony,1555,2,4,2,14,17,94%,6%,-,17 Nov 2015,29 Sep 2017,15:50
118,Captain Moon,1554,9,4,1,8,16,100%,-,-,25 Apr 2016,29 Sep 2017,15:50
119,Danh81,1553,22,11,6,37,53,89%,2%,9%,02 Nov 2015,29 Sep 2017,15:50
120,Scotwithonet,1553,10,6,3,24,30,93%,7%,-,17 Aug 2016,29 Sep 2017,15:50
