rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1904,12,11,6,37,43,95%,5%,-,10 Aug 2015,26 Sep 2017,14:30
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,26 Sep 2017,14:30
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,26 Sep 2017,14:30
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,26 Sep 2017,14:30
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,26 Sep 2017,14:30
6,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,26 Sep 2017,14:30
7,STAD,1742,16,4,-,13,22,95%,5%,-,10 Apr 2016,26 Sep 2017,14:30
8,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,26 Sep 2017,14:30
9,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,26 Sep 2017,14:30
10,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,26 Sep 2017,14:30
11,AdmiralAdama,1733,32,18,9,80,102,84%,12%,4%,21 Mar 2015,26 Sep 2017,14:30
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,26 Sep 2017,14:30
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,26 Sep 2017,14:30
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,26 Sep 2017,14:30
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,26 Sep 2017,14:30
16,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,26 Sep 2017,14:30
17,PanzerKosstra,1686,27,20,14,103,125,81%,3%,16%,30 Oct 2015,26 Sep 2017,14:30
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,26 Sep 2017,14:30
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,26 Sep 2017,14:30
20,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,26 Sep 2017,14:30
21,Mackbluey,1683,5,4,1,14,15,100%,-,-,14 Apr 2017,26 Sep 2017,14:30
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,26 Sep 2017,14:30
23,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,26 Sep 2017,14:30
24,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,26 Sep 2017,14:30
25,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,26 Sep 2017,14:30
26,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,26 Sep 2017,14:30
27,oz0n3,1653,9,3,4,19,25,92%,8%,-,16 Oct 2015,26 Sep 2017,14:30
28,Sydogg,1652,9,8,6,34,40,83%,10%,8%,26 Oct 2015,26 Sep 2017,14:30
