rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1930,13,11,6,38,44,95%,5%,-,10 Aug 2015,28 Sep 2017,16:25
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,28 Sep 2017,16:25
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,28 Sep 2017,16:25
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,28 Sep 2017,16:25
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,28 Sep 2017,16:25
6,AdmiralAdama,1752,32,18,10,81,103,83%,13%,4%,21 Mar 2015,28 Sep 2017,16:25
7,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,28 Sep 2017,16:25
8,STAD,1742,16,4,-,13,22,95%,5%,-,10 Apr 2016,28 Sep 2017,16:25
9,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,28 Sep 2017,16:25
10,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,28 Sep 2017,16:25
11,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,28 Sep 2017,16:25
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,28 Sep 2017,16:25
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,28 Sep 2017,16:25
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,28 Sep 2017,16:25
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,28 Sep 2017,16:25
16,ayrm,1698,20,17,9,89,96,72%,18%,10%,24 Oct 2015,28 Sep 2017,16:25
17,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,28 Sep 2017,16:25
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,28 Sep 2017,16:25
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,28 Sep 2017,16:25
