rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
90,Nabby19,1573,12,3,2,16,23,87%,13%,-,16 Feb 2016,27 Sep 2017,23:11
91,TheStash,1572,16,10,3,19,51,84%,4%,12%,27 Apr 2015,27 Sep 2017,23:11
92,Fear the Sea,1570,24,23,8,119,135,89%,11%,-,18 Oct 2015,27 Sep 2017,23:11
93,ProfessorMurder,1570,5,3,1,11,15,93%,-,7%,22 Nov 2015,27 Sep 2017,23:11
94,BitterBlade72,1569,7,1,1,14,25,44%,12%,44%,27 Oct 2015,27 Sep 2017,23:11
95,Traph,1569,5,7,1,14,20,100%,-,-,25 Oct 2015,27 Sep 2017,23:11
96,dodo3442,1568,19,3,1,21,32,88%,13%,-,08 Jul 2016,27 Sep 2017,23:11
97,Dasit,1567,2,1,3,11,14,93%,-,7%,02 Dec 2016,27 Sep 2017,23:11
98,Daines,1565,9,6,-,17,19,95%,5%,-,26 Jun 2016,27 Sep 2017,23:11
99,outof,1565,7,4,2,9,16,100%,-,-,05 Oct 2015,27 Sep 2017,23:11
100,eramag,1564,20,11,7,33,48,96%,4%,-,02 Nov 2015,27 Sep 2017,23:11
101,FrancisUnderwood,1564,9,5,3,23,32,84%,13%,3%,10 Nov 2015,27 Sep 2017,23:11
102,Ghengis Don,1564,7,7,7,32,39,95%,3%,3%,15 Oct 2015,27 Sep 2017,23:11
103,Vodonos,1564,7,4,1,10,15,100%,-,-,25 Jan 2016,27 Sep 2017,23:11
104,Ember,1564,4,1,6,15,15,100%,-,-,24 Apr 2016,27 Sep 2017,23:11
105,pafepe,1564,2,4,4,11,29,41%,10%,48%,27 Oct 2015,27 Sep 2017,23:11
106,dengzi,1562,25,8,6,28,74,88%,12%,-,19 Feb 2015,27 Sep 2017,23:11
107,Life-Water-Rainbow,1562,12,5,4,15,36,75%,14%,11%,08 Dec 2015,27 Sep 2017,23:11
108,crunchfactor,1561,10,12,10,40,42,98%,2%,-,23 Jan 2016,27 Sep 2017,23:11
109,HoodedKangaroo,1561,7,6,8,34,39,90%,10%,-,19 Oct 2015,27 Sep 2017,23:11
110,The_Force,1560,7,8,2,21,29,93%,7%,-,25 Nov 2015,27 Sep 2017,23:11
111,Reynard,1559,3,5,1,15,17,94%,6%,-,04 Mar 2016,27 Sep 2017,23:11
112,dannyb2325,1557,23,12,21,92,106,90%,8%,2%,29 Oct 2015,27 Sep 2017,23:11
113,Hispanico,1557,19,12,2,26,41,95%,5%,-,22 Jan 2016,27 Sep 2017,23:11
114,ColonelBlair,1557,11,-,2,9,14,93%,7%,-,23 Nov 2015,27 Sep 2017,23:11
115,Deal_guy,1557,4,4,2,12,14,93%,7%,-,20 Mar 2016,27 Sep 2017,23:11
116,merekjackals,1557,3,7,7,31,33,91%,9%,-,26 Dec 2015,27 Sep 2017,23:11
117,Greystone,1556,16,6,5,32,40,88%,13%,-,23 Oct 2015,27 Sep 2017,23:11
118,Tooony,1555,2,4,2,14,17,94%,6%,-,17 Nov 2015,27 Sep 2017,23:11
119,Captain Moon,1554,9,4,1,8,16,100%,-,-,25 Apr 2016,27 Sep 2017,23:11
120,Danh81,1553,22,11,6,37,53,89%,2%,9%,02 Nov 2015,27 Sep 2017,23:11
121,Scotwithonet,1553,10,6,3,24,30,93%,7%,-,17 Aug 2016,27 Sep 2017,23:11
122,Plutonium238,1553,5,9,4,17,27,81%,4%,15%,28 Dec 2015,27 Sep 2017,23:11
123,Bigbk90210,1552,21,14,5,69,87,72%,24%,3%,27 Mar 2016,27 Sep 2017,23:11
124,Rum Runner,1552,20,14,9,70,78,87%,10%,3%,15 Oct 2015,27 Sep 2017,23:11
125,Cavko,1552,12,10,5,13,33,97%,3%,-,02 Nov 2015,27 Sep 2017,23:11
126,BenOhBee,1552,11,3,5,9,30,93%,3%,3%,13 Jan 2016,27 Sep 2017,23:11
127,BattleFrog,1552,8,9,7,12,34,88%,3%,9%,28 Mar 2016,27 Sep 2017,23:11
128,BrAKeR,1552,8,2,-,10,17,76%,-,24%,22 Oct 2015,27 Sep 2017,23:11
129,Galiom,1550,11,4,2,9,21,100%,-,-,23 Oct 2016,27 Sep 2017,23:11
130,TheodorusBear,1549,16,10,10,35,83,92%,7%,1%,19 Mar 2016,27 Sep 2017,23:11
131,Redneck Empire,1549,12,15,9,43,51,94%,6%,-,23 Oct 2015,27 Sep 2017,23:11
132,HMAS TKRS,1549,5,6,7,12,21,95%,-,5%,29 Sep 2016,27 Sep 2017,23:11
133,scoie,1548,12,7,8,23,44,93%,7%,-,05 Apr 2016,27 Sep 2017,23:11
134,FlorinTheBaron,1548,3,5,5,18,24,96%,-,4%,23 Oct 2015,27 Sep 2017,23:11
135,scottagibson,1547,10,11,2,21,33,91%,6%,3%,30 Oct 2015,27 Sep 2017,23:11
136,MartinMartyMarshall,1547,10,4,2,11,24,100%,-,-,07 Jan 2016,27 Sep 2017,23:11
137,BuffinMuffalo,1546,3,2,1,9,10,90%,-,10%,07 Jul 2016,27 Sep 2017,23:11
138,ATulkki,1545,16,15,7,42,62,94%,6%,-,24 Oct 2016,27 Sep 2017,23:11
139,SirGAZmbe,1545,1,7,8,19,23,91%,4%,4%,19 Feb 2017,27 Sep 2017,23:11
140,comradecaglar,1542,12,4,1,12,28,82%,4%,14%,10 Jun 2016,27 Sep 2017,23:11
141,bolminator,1541,12,4,1,16,28,93%,7%,-,26 Nov 2014,27 Sep 2017,23:11
142,Mcgrathe,1541,4,10,7,23,39,87%,10%,3%,19 Oct 2015,27 Sep 2017,23:11
143,Iceburg33,1540,10,9,11,52,63,76%,24%,-,26 Mar 2016,27 Sep 2017,23:11
144,BigD,1540,7,8,3,25,49,86%,10%,4%,27 Apr 2015,27 Sep 2017,23:11
145,ginco,1540,6,6,-,12,22,77%,-,23%,17 Oct 2015,27 Sep 2017,23:11
146,PelicanEAD,1539,11,11,8,22,50,94%,-,6%,26 Dec 2015,27 Sep 2017,23:11
147,Balalaika,1539,8,5,4,23,29,97%,3%,-,31 Dec 2015,27 Sep 2017,23:11
148,FutureKat,1538,7,14,17,45,71,86%,8%,6%,26 Jul 2016,27 Sep 2017,23:11
149,rayywan,1538,3,6,5,13,20,90%,-,10%,07 Dec 2015,27 Sep 2017,23:11
150,Senor D,1537,4,8,4,10,20,95%,5%,-,29 Oct 2015,27 Sep 2017,23:11
151,Das Stildo,1536,8,8,8,28,36,86%,11%,3%,19 Oct 2015,27 Sep 2017,23:11
152,Intrepid_,1536,5,9,6,32,38,79%,8%,13%,15 Dec 2015,27 Sep 2017,23:11
153,Lord Akkrand,1534,15,6,3,28,41,95%,5%,-,07 Oct 2015,27 Sep 2017,23:11
154,CallmeSIFU,1534,10,3,2,8,17,100%,-,-,07 Dec 2015,27 Sep 2017,23:11
155,Brsku3,1534,4,11,17,45,52,85%,13%,2%,24 Oct 2015,27 Sep 2017,23:11
156,ConMan,1533,25,1,2,26,36,92%,-,8%,23 Feb 2016,27 Sep 2017,23:11
157,Thanabur,1533,12,11,4,17,33,88%,6%,6%,19 Feb 2016,27 Sep 2017,23:11
158,Dixinormus,1532,13,9,2,17,31,90%,6%,3%,17 Feb 2017,27 Sep 2017,23:11
159,RedsCommando,1532,13,3,8,23,35,94%,3%,3%,22 Nov 2015,27 Sep 2017,23:11
160,Ttalaric,1532,7,4,4,16,28,75%,18%,7%,25 Oct 2015,27 Sep 2017,23:11
161,Slayer15359,1532,6,3,1,11,15,93%,-,7%,18 Mar 2017,27 Sep 2017,23:11
162,MightyDoc,1531,10,21,6,19,46,96%,-,4%,11 Nov 2015,27 Sep 2017,23:11
163,DarkCityStrings,1531,10,6,1,21,26,88%,12%,-,18 Oct 2015,27 Sep 2017,23:11
164,Sukarr,1530,27,10,1,18,56,84%,-,16%,21 Aug 2016,27 Sep 2017,23:11
165,Artie Cash,1529,9,5,2,16,25,96%,-,4%,19 Oct 2015,27 Sep 2017,23:11
166,bnte,1528,10,7,3,38,49,82%,16%,2%,10 Jan 2016,27 Sep 2017,23:11
167,Trent,1527,4,5,8,26,31,94%,6%,-,16 Oct 2015,27 Sep 2017,23:11
168,CrustyPlums,1526,9,8,3,13,22,100%,-,-,25 Oct 2015,27 Sep 2017,23:11
169,Krink,1525,11,8,6,12,32,91%,-,9%,05 Mar 2016,27 Sep 2017,23:11
170,DarthNinjaJesus,1525,10,6,5,18,27,96%,4%,-,14 Nov 2016,27 Sep 2017,23:11
171,Kynuren,1525,10,2,2,9,15,100%,-,-,23 May 2016,27 Sep 2017,23:11
172,eemoo,1525,7,-,-,8,11,82%,9%,9%,31 Dec 2015,27 Sep 2017,23:11
173,Zannalb,1525,5,3,3,7,15,100%,-,-,17 Oct 2015,27 Sep 2017,23:11
174,enterthefoo,1524,23,22,22,71,125,88%,10%,2%,26 Dec 2015,27 Sep 2017,23:11
175,freonsk,1524,12,6,3,25,35,89%,11%,-,17 Oct 2015,27 Sep 2017,23:11
176,Neoxxus,1524,6,3,-,12,12,50%,-,50%,24 Oct 2016,27 Sep 2017,23:11
177,EZup,1523,8,9,2,22,26,88%,12%,-,18 Oct 2015,27 Sep 2017,23:11
178,Samtheawesome1,1522,17,9,13,26,75,77%,11%,12%,14 Feb 2016,27 Sep 2017,23:11
179,Agro_vacation,1522,8,4,1,14,18,100%,-,-,19 Dec 2015,27 Sep 2017,23:11
180,Shun79,1521,16,2,1,8,22,100%,-,-,26 Dec 2015,27 Sep 2017,23:11
181,Fred,1520,14,4,1,30,36,86%,6%,8%,20 Oct 2015,27 Sep 2017,23:11
182,Calvoria,1520,4,2,-,4,6,100%,-,-,22 Aug 2016,27 Sep 2017,23:11
183,Pancho Villa,1520,3,6,5,19,21,90%,10%,-,19 Oct 2015,27 Sep 2017,23:11
184,Nojo34,1518,23,31,33,29,186,82%,15%,3%,02 Jan 2016,27 Sep 2017,23:11
185,Futceez,1518,5,3,2,7,13,100%,-,-,05 Dec 2016,27 Sep 2017,23:11
186,Watermelone,1517,6,4,3,15,23,91%,-,9%,19 Nov 2015,27 Sep 2017,23:11
187,heyitsthatguy,1516,9,11,5,37,43,95%,5%,-,07 Sep 2016,27 Sep 2017,23:11
188,Bungholio,1516,7,13,4,30,38,89%,5%,5%,07 Mar 2016,27 Sep 2017,23:11
189,Daviant,1516,2,2,1,13,21,67%,10%,24%,27 Oct 2015,27 Sep 2017,23:11
190,Thomaro,1515,9,7,13,30,44,93%,7%,-,18 Nov 2015,27 Sep 2017,23:11
191,ONEQUIK7,1515,4,6,4,8,16,81%,-,19%,24 Oct 2015,27 Sep 2017,23:11
192,Rykerfell,1514,8,3,5,9,19,100%,-,-,24 Dec 2015,27 Sep 2017,23:11
193,Alphago,1514,8,2,5,28,33,85%,15%,-,12 Mar 2016,27 Sep 2017,23:11
194,Ser Flx,1514,5,6,5,27,31,87%,13%,-,18 Oct 2015,27 Sep 2017,23:11
195,Gatornation,1514,2,2,-,6,6,100%,-,-,27 Jun 2017,27 Sep 2017,23:11
196,Aj149,1513,7,9,7,25,47,79%,11%,11%,29 May 2016,27 Sep 2017,23:11
197,PEBL,1513,7,7,5,27,40,75%,15%,10%,01 Dec 2016,27 Sep 2017,23:11
198,WhiteJesus,1513,3,5,2,15,16,94%,-,6%,10 Jan 2017,27 Sep 2017,23:11
199,Silverberg,1512,12,5,6,10,48,83%,15%,2%,09 Feb 2016,27 Sep 2017,23:11
200,Questionable Karma,1511,4,6,1,12,17,76%,6%,18%,19 Mar 2017,27 Sep 2017,23:11
201,minemarco,1511,4,5,2,18,21,95%,5%,-,17 Oct 2015,27 Sep 2017,23:11
202,oNare,1510,23,7,2,14,39,85%,5%,10%,22 Dec 2015,27 Sep 2017,23:11
203,dnmart,1510,6,10,12,11,29,97%,-,3%,06 May 2016,27 Sep 2017,23:11
204,yimmarans,1510,6,5,8,28,36,86%,14%,-,11 Dec 2015,27 Sep 2017,23:11
205,Dandale,1509,6,4,8,42,45,89%,2%,9%,03 Dec 2016,27 Sep 2017,23:11
206,ArchieBold,1509,1,7,2,11,18,83%,6%,11%,03 Jul 2016,27 Sep 2017,23:11
207,Hator Tots,1508,41,10,13,29,110,86%,5%,9%,06 Nov 2015,27 Sep 2017,23:11
208,Lallante,1508,8,4,-,11,18,83%,17%,-,19 Dec 2016,27 Sep 2017,23:11
209,kelin10dragon,1506,32,22,15,30,107,82%,12%,6%,19 Oct 2015,27 Sep 2017,23:11
210,Gitel,1506,14,-,1,19,26,81%,19%,-,28 Jun 2016,27 Sep 2017,23:11
211,RicGold,1505,14,14,13,54,72,99%,1%,-,22 Oct 2015,27 Sep 2017,23:11
212,Ehmer,1505,12,1,-,5,15,87%,7%,7%,20 Nov 2015,27 Sep 2017,23:11
213,Monkeymofo,1505,5,10,22,63,76,80%,18%,1%,20 May 2016,27 Sep 2017,23:11
214,Huntch,1505,4,1,2,7,8,88%,13%,-,08 Sep 2016,27 Sep 2017,23:11
215,Phil t,1504,8,6,3,23,26,81%,15%,4%,26 Oct 2015,27 Sep 2017,23:11
216,Maxatrillion,1504,6,5,-,4,12,92%,-,8%,21 Feb 2016,27 Sep 2017,23:11
217,General Castro,1504,5,7,4,16,29,76%,7%,17%,05 Dec 2016,27 Sep 2017,23:11
218,GoBills2016,1504,5,3,2,17,19,89%,5%,5%,09 Dec 2015,27 Sep 2017,23:11
219,Aegon,1504,3,1,1,12,16,75%,19%,6%,29 Feb 2016,27 Sep 2017,23:11
220,BlueSpheal,1503,22,7,6,11,40,98%,3%,-,20 May 2016,27 Sep 2017,23:11
221,Strooch,1503,18,3,2,5,38,84%,8%,8%,13 Nov 2016,27 Sep 2017,23:11
222,Lotgewjai,1503,4,6,-,11,16,94%,6%,-,24 Oct 2015,27 Sep 2017,23:11
223,dasAndy,1501,36,17,7,59,81,90%,4%,6%,29 Aug 2016,27 Sep 2017,23:11
224,SteveO,1500,10,7,5,13,38,92%,3%,5%,21 May 2015,27 Sep 2017,23:11
225,Ascot Hammers,1499,11,7,4,26,43,72%,21%,7%,08 Mar 2016,27 Sep 2017,23:11
226,Jacksonisboss,1498,7,1,-,9,12,92%,8%,-,03 Apr 2017,27 Sep 2017,23:11
227,Muckdog21,1496,11,10,6,29,42,79%,14%,7%,05 Nov 2015,27 Sep 2017,23:11
228,Dr SynisteR,1495,48,43,33,32,176,85%,14%,2%,15 Jan 2016,27 Sep 2017,23:11
229,TommyGun,1494,12,3,-,12,18,89%,-,11%,17 Oct 2015,27 Sep 2017,23:11
230,nmaloney,1494,1,5,7,8,20,85%,10%,5%,19 Jan 2016,27 Sep 2017,23:11
231,Skae,1493,6,5,3,24,31,77%,13%,10%,09 May 2016,27 Sep 2017,23:11
232,TimberWolf,1493,3,1,3,14,15,73%,-,27%,11 Mar 2016,27 Sep 2017,23:11
233,Acuavit,1492,3,2,4,8,14,71%,14%,14%,28 Oct 2015,27 Sep 2017,23:11
234,AngryGnat,1491,15,10,7,48,61,95%,5%,-,16 Oct 2015,27 Sep 2017,23:11
235,jonny red,1491,12,13,6,22,47,89%,9%,2%,16 Dec 2015,27 Sep 2017,23:11
236,TheBlazer,1491,8,12,-,12,25,96%,4%,-,16 Oct 2015,27 Sep 2017,23:11
237,viceview51,1491,6,3,9,19,26,96%,4%,-,05 Oct 2015,27 Sep 2017,23:11
238,Wtt2b,1491,4,6,1,6,12,92%,8%,-,05 Apr 2017,27 Sep 2017,23:11
239,DonShotty,1491,4,2,-,5,7,100%,-,-,17 Mar 2016,27 Sep 2017,23:11
240,KrisZ,1491,1,4,3,7,10,100%,-,-,24 Dec 2015,27 Sep 2017,23:11
241,Entrican,1490,7,7,2,15,22,91%,9%,-,28 Jul 2015,27 Sep 2017,23:11
242,Rellim,1490,5,9,3,8,24,83%,8%,8%,23 Oct 2015,27 Sep 2017,23:11
243,theZissou,1490,2,2,5,19,23,78%,9%,13%,31 Aug 2016,27 Sep 2017,23:11
244,sufyuf,1489,29,21,12,26,89,91%,9%,-,16 May 2016,27 Sep 2017,23:11
245,Hurricane,1489,12,3,1,10,23,91%,4%,4%,11 Dec 2015,27 Sep 2017,23:11
246,Dweenig,1489,8,3,2,6,24,88%,4%,8%,25 Mar 2017,27 Sep 2017,23:11
247,kdtallllll,1488,12,23,9,11,52,90%,10%,-,16 Oct 2015,27 Sep 2017,23:11
248,Grelkara,1488,4,6,2,17,22,86%,9%,5%,14 Oct 2015,27 Sep 2017,23:11
249,Juan,1487,8,3,-,7,24,63%,8%,29%,19 Jan 2015,27 Sep 2017,23:11
250,Mason240,1487,7,2,1,13,16,69%,13%,19%,14 Oct 2015,27 Sep 2017,23:11
251,Bignastey,1487,5,2,1,10,13,62%,-,38%,02 Nov 2015,27 Sep 2017,23:11
252,MisfitToys,1485,10,3,1,17,25,100%,-,-,16 Oct 2015,27 Sep 2017,23:11
253,Aslamlevy,1484,20,9,5,38,55,91%,9%,-,11 Nov 2015,27 Sep 2017,23:11
254,Toughcity,1484,10,7,8,36,51,82%,16%,2%,31 Jan 2016,27 Sep 2017,23:11
255,asdf,1484,8,4,1,8,21,81%,5%,14%,31 Jan 2015,27 Sep 2017,23:11
256,Aerial Assault,1483,-,1,4,10,13,100%,-,-,31 May 2016,27 Sep 2017,23:11
257,Otherguy,1482,8,-,3,11,16,81%,13%,6%,01 Jun 2016,27 Sep 2017,23:11
258,Azureangel,1482,5,5,1,15,20,90%,5%,5%,16 Oct 2015,27 Sep 2017,23:11
259,Spy3,1480,15,1,2,13,21,90%,10%,-,15 Oct 2015,27 Sep 2017,23:11
260,mduban4,1480,12,5,1,17,27,100%,-,-,21 Oct 2015,27 Sep 2017,23:11
261,ZekeShepLinc,1479,28,7,11,73,82,67%,18%,15%,23 Oct 2015,27 Sep 2017,23:11
262,Chensta,1479,8,3,-,15,15,87%,7%,7%,24 Feb 2016,27 Sep 2017,23:11
263,Felisens,1479,5,1,1,6,9,100%,-,-,28 Oct 2015,27 Sep 2017,23:11
264,kpav04,1479,4,1,1,6,9,100%,-,-,10 Apr 2016,27 Sep 2017,23:11
265,Forefall,1479,2,2,3,7,8,100%,-,-,18 Oct 2015,27 Sep 2017,23:11
266,RoadRash333,1479,1,6,-,10,13,69%,8%,23%,23 Nov 2015,27 Sep 2017,23:11
267,Raptor040,1478,11,5,5,33,36,94%,6%,-,16 Oct 2015,27 Sep 2017,23:11
268,flydarkwings805,1478,4,12,7,30,38,89%,5%,5%,30 May 2016,27 Sep 2017,23:11
269,TopGun,1476,9,4,3,20,27,93%,4%,4%,18 Mar 2016,27 Sep 2017,23:11
