rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1904,12,11,6,37,43,95%,5%,-,10 Aug 2015,27 Sep 2017,23:11
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,27 Sep 2017,23:11
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,27 Sep 2017,23:11
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,27 Sep 2017,23:11
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,27 Sep 2017,23:11
6,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,27 Sep 2017,23:11
7,STAD,1742,16,4,-,13,22,95%,5%,-,10 Apr 2016,27 Sep 2017,23:11
8,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,27 Sep 2017,23:11
9,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,27 Sep 2017,23:11
10,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,27 Sep 2017,23:11
11,AdmiralAdama,1733,32,18,9,80,102,84%,12%,4%,21 Mar 2015,27 Sep 2017,23:11
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,27 Sep 2017,23:11
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,27 Sep 2017,23:11
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,27 Sep 2017,23:11
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,27 Sep 2017,23:11
16,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,27 Sep 2017,23:11
17,PanzerKosstra,1686,27,20,14,103,125,81%,3%,16%,30 Oct 2015,27 Sep 2017,23:11
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,27 Sep 2017,23:11
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,27 Sep 2017,23:11
20,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,27 Sep 2017,23:11
21,Mackbluey,1683,5,4,1,14,15,100%,-,-,14 Apr 2017,27 Sep 2017,23:11
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,27 Sep 2017,23:11
23,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,27 Sep 2017,23:11
24,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,27 Sep 2017,23:11
25,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,27 Sep 2017,23:11
26,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,27 Sep 2017,23:11
27,oz0n3,1653,9,3,4,19,25,92%,8%,-,16 Oct 2015,27 Sep 2017,23:11
28,Sydogg,1652,9,8,6,34,40,83%,10%,8%,26 Oct 2015,27 Sep 2017,23:11
29,_Blackout_,1652,8,4,-,24,25,96%,4%,-,01 Jul 2016,27 Sep 2017,23:11
30,Rappo,1652,6,2,1,10,10,100%,-,-,04 May 2017,27 Sep 2017,23:11
31,Flappie,1649,10,7,6,47,55,85%,15%,-,09 Dec 2016,27 Sep 2017,23:11
32,McCoolxxx,1647,13,8,7,45,60,82%,7%,12%,19 Feb 2016,27 Sep 2017,23:11
33,Nightwind,1647,9,15,7,37,42,100%,-,-,09 Feb 2017,27 Sep 2017,23:11
34,SexxxyBastard69,1646,6,3,2,10,13,100%,-,-,07 Apr 2016,27 Sep 2017,23:11
35,Hazelsmasher,1642,11,4,-,18,22,86%,14%,-,24 Oct 2015,27 Sep 2017,23:11
36,Captain_Simian,1641,14,5,5,32,38,92%,5%,3%,25 Oct 2015,27 Sep 2017,23:11
37,Jimidy,1640,5,2,5,12,14,100%,-,-,27 Oct 2015,27 Sep 2017,23:11
38,Awen,1639,19,16,6,53,63,95%,5%,-,17 Nov 2016,27 Sep 2017,23:11
39,Radioactivity,1638,24,15,13,75,109,86%,7%,6%,20 Oct 2015,27 Sep 2017,23:11
40,ephogy,1638,16,4,3,27,43,79%,14%,7%,20 Oct 2015,27 Sep 2017,23:11
41,ayrm,1637,20,16,9,88,95,73%,17%,11%,24 Oct 2015,27 Sep 2017,23:11
42,JimLeyland,1636,4,10,1,18,19,100%,-,-,20 Jan 2016,27 Sep 2017,23:11
43,Bunker_900,1634,4,8,5,20,27,89%,7%,4%,23 Oct 2015,27 Sep 2017,23:11
44,BigKillaB,1633,14,17,11,18,48,100%,-,-,14 Nov 2015,27 Sep 2017,23:11
45,Manager,1633,11,15,3,32,47,91%,6%,2%,01 Aug 2015,27 Sep 2017,23:11
46,Centralized,1633,3,2,3,10,10,100%,-,-,09 Feb 2017,27 Sep 2017,23:11
47,alexcata,1631,18,3,2,21,37,97%,3%,-,23 Oct 2015,27 Sep 2017,23:11
48,fox-alpha-one,1631,15,14,5,57,77,86%,10%,4%,26 Dec 2015,27 Sep 2017,23:11
49,Niverio,1630,40,34,18,69,174,83%,13%,4%,26 Oct 2015,27 Sep 2017,23:11
50,Psychodelic,1628,34,16,19,86,122,87%,11%,2%,24 May 2016,27 Sep 2017,23:11
51,broesph,1621,9,7,4,20,27,85%,4%,11%,08 Nov 2015,27 Sep 2017,23:11
52,Denzalo,1620,30,8,2,50,62,79%,19%,2%,22 Oct 2015,27 Sep 2017,23:11
53,FleetAdmiralShanley,1620,19,22,10,35,66,91%,9%,-,29 Dec 2015,27 Sep 2017,23:11
54,Flintstones,1620,18,1,1,19,27,81%,11%,7%,17 Oct 2015,27 Sep 2017,23:11
55,Seethestar,1617,12,-,-,11,13,100%,-,-,15 Oct 2015,27 Sep 2017,23:11
56,SuddenDeath,1617,7,10,7,25,41,85%,10%,5%,12 Nov 2015,27 Sep 2017,23:11
57,TwoLAgit2q,1616,9,10,12,60,80,86%,11%,3%,08 Apr 2016,27 Sep 2017,23:11
58,Japes,1616,9,4,3,19,21,90%,-,10%,17 Feb 2016,27 Sep 2017,23:11
59,KevlarGolem,1616,9,4,1,11,17,94%,6%,-,24 Oct 2015,27 Sep 2017,23:11
60,pscottwi,1615,8,6,6,15,24,100%,-,-,14 Oct 2015,27 Sep 2017,23:11
61,Eziekiel665,1609,11,5,3,29,31,90%,10%,-,21 Feb 2016,27 Sep 2017,23:11
62,Superclix,1608,27,14,12,45,76,91%,4%,5%,26 Mar 2016,27 Sep 2017,23:11
63,AdmNimitz,1608,10,9,15,38,45,100%,-,-,25 Oct 2015,27 Sep 2017,23:11
64,JohnnyMacDaddy,1604,8,-,-,7,9,100%,-,-,04 Oct 2016,27 Sep 2017,23:11
65,Ghetojunky,1602,13,2,-,11,18,89%,6%,6%,16 Oct 2015,27 Sep 2017,23:11
66,Yammy,1601,10,12,6,29,52,69%,4%,27%,14 Oct 2015,27 Sep 2017,23:11
67,pagsus,1600,14,11,5,43,58,90%,9%,2%,25 Jun 2016,27 Sep 2017,23:11
68,UMPUSTEN,1599,10,9,4,33,59,81%,17%,2%,24 Jun 2015,27 Sep 2017,23:11
69,Thebigbob,1598,9,13,3,25,33,91%,9%,-,23 Oct 2015,27 Sep 2017,23:11
70,Fibonacci,1598,6,5,3,18,25,100%,-,-,19 Oct 2015,27 Sep 2017,23:11
71,aaronpuj,1595,17,16,8,64,69,88%,7%,4%,16 Nov 2015,27 Sep 2017,23:11
72,Jkatsalis,1595,17,9,5,25,36,97%,-,3%,17 Oct 2015,27 Sep 2017,23:11
73,PerAspera,1595,11,2,1,14,18,100%,-,-,06 Aug 2016,27 Sep 2017,23:11
74,Sadams25,1594,10,1,1,11,16,88%,6%,6%,17 Jan 2016,27 Sep 2017,23:11
75,nevalken,1590,9,3,4,15,22,100%,-,-,14 Oct 2015,27 Sep 2017,23:11
76,1008001,1588,15,5,13,34,50,86%,14%,-,24 Oct 2015,27 Sep 2017,23:11
77,Aqeel,1588,4,3,1,7,8,100%,-,-,27 Nov 2015,27 Sep 2017,23:11
78,Samborin,1587,11,-,-,10,12,100%,-,-,17 Oct 2015,27 Sep 2017,23:11
79,boondockbear,1587,10,3,2,19,24,96%,4%,-,17 Dec 2015,27 Sep 2017,23:11
80,Bubbling,1584,10,10,5,26,33,94%,3%,3%,01 Dec 2016,27 Sep 2017,23:11
81,Styxandstones,1583,6,10,5,63,68,82%,18%,-,12 Nov 2016,27 Sep 2017,23:11
82,Axl24Lax,1582,27,11,4,53,63,90%,2%,8%,07 Nov 2015,27 Sep 2017,23:11
83,Thydeon,1581,19,-,1,12,24,92%,8%,-,14 Jan 2016,27 Sep 2017,23:11
84,A  Noose,1581,16,5,3,23,28,89%,7%,4%,19 Oct 2015,27 Sep 2017,23:11
85,SadikJason,1581,6,19,3,36,43,81%,12%,7%,08 Nov 2015,27 Sep 2017,23:11
86,Erik,1580,19,10,2,12,32,100%,-,-,22 May 2016,27 Sep 2017,23:11
87,ida1,1579,8,1,1,16,18,100%,-,-,17 Dec 2016,27 Sep 2017,23:11
88,dustin722,1576,14,6,4,29,39,92%,3%,5%,24 Oct 2015,27 Sep 2017,23:11
89,Lagrangian,1574,9,2,-,12,19,100%,-,-,07 Dec 2016,27 Sep 2017,23:11
