rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1930,13,11,6,38,44,95%,5%,-,10 Aug 2015,30 Sep 2017,18:11
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,30 Sep 2017,18:11
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,30 Sep 2017,18:11
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,30 Sep 2017,18:11
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,30 Sep 2017,18:11
6,AdmiralAdama,1752,32,18,10,81,103,83%,13%,4%,21 Mar 2015,30 Sep 2017,18:11
7,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,30 Sep 2017,18:11
8,STAD,1742,16,4,-,13,22,95%,5%,-,10 Apr 2016,30 Sep 2017,18:11
9,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,30 Sep 2017,18:11
10,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,30 Sep 2017,18:11
11,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,30 Sep 2017,18:11
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,30 Sep 2017,18:11
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,30 Sep 2017,18:11
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,30 Sep 2017,18:11
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,30 Sep 2017,18:11
16,ayrm,1698,20,17,9,89,96,72%,18%,10%,24 Oct 2015,30 Sep 2017,18:11
17,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,30 Sep 2017,18:11
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,30 Sep 2017,18:11
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,30 Sep 2017,18:11
20,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,30 Sep 2017,18:11
21,Mackbluey,1683,5,4,1,14,15,100%,-,-,14 Apr 2017,30 Sep 2017,18:11
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,30 Sep 2017,18:11
23,Awen,1678,20,16,6,54,64,95%,5%,-,17 Nov 2016,30 Sep 2017,18:11
24,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,30 Sep 2017,18:11
25,PanzerKosstra,1675,27,20,14,104,126,80%,4%,16%,30 Oct 2015,30 Sep 2017,18:11
26,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,30 Sep 2017,18:11
27,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,30 Sep 2017,18:11
28,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,30 Sep 2017,18:11
