rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1904,12,11,6,37,43,95%,5%,-,10 Aug 2015,25 Sep 2017,16:18
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,25 Sep 2017,16:18
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,25 Sep 2017,16:18
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,25 Sep 2017,16:18
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,25 Sep 2017,16:18
6,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,25 Sep 2017,16:18
7,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,25 Sep 2017,16:18
8,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,25 Sep 2017,16:18
9,STAD,1737,16,4,-,12,21,95%,5%,-,10 Apr 2016,25 Sep 2017,16:18
10,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,25 Sep 2017,16:18
11,AdmiralAdama,1733,32,18,9,80,102,84%,12%,4%,21 Mar 2015,25 Sep 2017,16:18
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,25 Sep 2017,16:18
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,25 Sep 2017,16:18
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,25 Sep 2017,16:18
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,25 Sep 2017,16:18
16,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,25 Sep 2017,16:18
17,PanzerKosstra,1686,27,20,14,103,125,81%,3%,16%,30 Oct 2015,25 Sep 2017,16:18
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,25 Sep 2017,16:18
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,25 Sep 2017,16:18
20,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,25 Sep 2017,16:18
21,Mackbluey,1683,5,4,1,14,15,100%,-,-,14 Apr 2017,25 Sep 2017,16:18
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,25 Sep 2017,16:18
23,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,25 Sep 2017,16:18
24,ayrm,1669,20,16,9,87,94,72%,17%,11%,24 Oct 2015,25 Sep 2017,16:18
25,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,25 Sep 2017,16:18
26,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,25 Sep 2017,16:18
27,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,25 Sep 2017,16:18
28,oz0n3,1653,9,3,4,19,25,92%,8%,-,16 Oct 2015,25 Sep 2017,16:18
29,Sydogg,1652,9,8,6,34,40,83%,10%,8%,26 Oct 2015,25 Sep 2017,16:18
30,_Blackout_,1652,8,4,-,24,25,96%,4%,-,01 Jul 2016,25 Sep 2017,16:18
31,Rappo,1652,6,2,1,10,10,100%,-,-,04 May 2017,25 Sep 2017,16:18
32,McCoolxxx,1647,13,8,7,45,60,82%,7%,12%,19 Feb 2016,25 Sep 2017,16:18
33,SexxxyBastard69,1646,6,3,2,10,13,100%,-,-,07 Apr 2016,25 Sep 2017,16:18
34,Hazelsmasher,1642,11,4,-,18,22,86%,14%,-,24 Oct 2015,25 Sep 2017,16:18
35,Captain_Simian,1641,14,5,5,32,38,92%,5%,3%,25 Oct 2015,25 Sep 2017,16:18
36,Jimidy,1640,5,2,5,12,14,100%,-,-,27 Oct 2015,25 Sep 2017,16:18
37,Awen,1639,19,16,6,53,63,95%,5%,-,17 Nov 2016,25 Sep 2017,16:18
38,Radioactivity,1638,24,15,13,75,109,86%,7%,6%,20 Oct 2015,25 Sep 2017,16:18
39,ephogy,1638,16,4,3,27,43,79%,14%,7%,20 Oct 2015,25 Sep 2017,16:18
40,JimLeyland,1636,4,10,1,18,19,100%,-,-,20 Jan 2016,25 Sep 2017,16:18
41,Axl24Lax,1634,27,11,4,52,62,90%,2%,8%,07 Nov 2015,25 Sep 2017,16:18
42,Bunker_900,1634,4,8,5,20,27,89%,7%,4%,23 Oct 2015,25 Sep 2017,16:18
43,BigKillaB,1633,14,17,11,18,48,100%,-,-,14 Nov 2015,25 Sep 2017,16:18
44,Manager,1633,11,15,3,32,47,91%,6%,2%,01 Aug 2015,25 Sep 2017,16:18
45,Flappie,1633,10,7,5,46,54,85%,15%,-,09 Dec 2016,25 Sep 2017,16:18
46,Centralized,1633,3,2,3,10,10,100%,-,-,09 Feb 2017,25 Sep 2017,16:18
47,alexcata,1631,18,3,2,21,37,97%,3%,-,23 Oct 2015,25 Sep 2017,16:18
48,fox-alpha-one,1631,15,14,5,57,77,86%,10%,4%,26 Dec 2015,25 Sep 2017,16:18
49,Niverio,1630,40,34,18,69,174,83%,13%,4%,26 Oct 2015,25 Sep 2017,16:18
50,Psychodelic,1628,34,16,19,86,122,87%,11%,2%,24 May 2016,25 Sep 2017,16:18
51,broesph,1621,9,7,4,20,27,85%,4%,11%,08 Nov 2015,25 Sep 2017,16:18
52,FleetAdmiralShanley,1620,19,22,10,35,66,91%,9%,-,29 Dec 2015,25 Sep 2017,16:18
53,Flintstones,1620,18,1,1,19,27,81%,11%,7%,17 Oct 2015,25 Sep 2017,16:18
54,SirGAZmbe,1618,1,7,8,18,22,95%,-,5%,19 Feb 2017,25 Sep 2017,16:18
55,Seethestar,1617,12,-,-,11,13,100%,-,-,15 Oct 2015,25 Sep 2017,16:18
56,SuddenDeath,1617,7,10,7,25,41,85%,10%,5%,12 Nov 2015,25 Sep 2017,16:18
57,Japes,1616,9,4,3,19,21,90%,-,10%,17 Feb 2016,25 Sep 2017,16:18
58,KevlarGolem,1616,9,4,1,11,17,94%,6%,-,24 Oct 2015,25 Sep 2017,16:18
59,pscottwi,1615,8,6,6,15,24,100%,-,-,14 Oct 2015,25 Sep 2017,16:18
60,Eziekiel665,1609,11,5,3,29,31,90%,10%,-,21 Feb 2016,25 Sep 2017,16:18
61,Superclix,1608,27,14,12,45,76,91%,4%,5%,26 Mar 2016,25 Sep 2017,16:18
62,AdmNimitz,1608,10,9,15,38,45,100%,-,-,25 Oct 2015,25 Sep 2017,16:18
63,Nightwind,1605,9,14,7,36,41,100%,-,-,09 Feb 2017,25 Sep 2017,16:18
64,JohnnyMacDaddy,1604,8,-,-,7,9,100%,-,-,04 Oct 2016,25 Sep 2017,16:18
65,Ghetojunky,1602,13,2,-,11,18,89%,6%,6%,16 Oct 2015,25 Sep 2017,16:18
66,Yammy,1601,10,12,6,29,52,69%,4%,27%,14 Oct 2015,25 Sep 2017,16:18
67,pagsus,1600,14,11,5,43,58,90%,9%,2%,25 Jun 2016,25 Sep 2017,16:18
68,UMPUSTEN,1599,10,9,4,33,59,81%,17%,2%,24 Jun 2015,25 Sep 2017,16:18
69,Thebigbob,1598,9,13,3,25,33,91%,9%,-,23 Oct 2015,25 Sep 2017,16:18
70,Fibonacci,1598,6,5,3,18,25,100%,-,-,19 Oct 2015,25 Sep 2017,16:18
71,Jkatsalis,1595,17,9,5,25,36,97%,-,3%,17 Oct 2015,25 Sep 2017,16:18
72,PerAspera,1595,11,2,1,14,18,100%,-,-,06 Aug 2016,25 Sep 2017,16:18
73,Sadams25,1594,10,1,1,11,16,88%,6%,6%,17 Jan 2016,25 Sep 2017,16:18
74,nevalken,1590,9,3,4,15,22,100%,-,-,14 Oct 2015,25 Sep 2017,16:18
75,1008001,1588,15,5,13,34,50,86%,14%,-,24 Oct 2015,25 Sep 2017,16:18
76,Aqeel,1588,4,3,1,7,8,100%,-,-,27 Nov 2015,25 Sep 2017,16:18
77,Samborin,1587,11,-,-,10,12,100%,-,-,17 Oct 2015,25 Sep 2017,16:18
78,boondockbear,1587,10,3,2,19,24,96%,4%,-,17 Dec 2015,25 Sep 2017,16:18
79,Bubbling,1584,10,10,5,26,33,94%,3%,3%,01 Dec 2016,25 Sep 2017,16:18
80,Thydeon,1581,19,-,1,12,24,92%,8%,-,14 Jan 2016,25 Sep 2017,16:18
81,A  Noose,1581,16,5,3,23,28,89%,7%,4%,19 Oct 2015,25 Sep 2017,16:18
82,Erik,1580,19,10,2,12,32,100%,-,-,22 May 2016,25 Sep 2017,16:18
83,aaronpuj,1580,17,16,7,63,68,88%,7%,4%,16 Nov 2015,25 Sep 2017,16:18
84,ida1,1579,8,1,1,16,18,100%,-,-,17 Dec 2016,25 Sep 2017,16:18
85,dustin722,1576,14,6,4,29,39,92%,3%,5%,24 Oct 2015,25 Sep 2017,16:18
86,Lagrangian,1574,9,2,-,12,19,100%,-,-,07 Dec 2016,25 Sep 2017,16:18
87,Nabby19,1573,12,3,2,16,23,87%,13%,-,16 Feb 2016,25 Sep 2017,16:18
88,TheStash,1572,16,10,3,19,51,84%,4%,12%,27 Apr 2015,25 Sep 2017,16:18
89,dasAndy,1570,36,17,7,58,80,90%,4%,6%,29 Aug 2016,25 Sep 2017,16:18
90,ProfessorMurder,1570,5,3,1,11,15,93%,-,7%,22 Nov 2015,25 Sep 2017,16:18
91,BitterBlade72,1569,7,1,1,14,25,44%,12%,44%,27 Oct 2015,25 Sep 2017,16:18
92,Traph,1569,5,7,1,14,20,100%,-,-,25 Oct 2015,25 Sep 2017,16:18
93,dodo3442,1568,19,3,1,21,32,88%,13%,-,08 Jul 2016,25 Sep 2017,16:18
94,Dasit,1567,2,1,3,11,14,93%,-,7%,02 Dec 2016,25 Sep 2017,16:18
95,Daines,1565,9,6,-,17,19,95%,5%,-,26 Jun 2016,25 Sep 2017,16:18
96,FrancisUnderwood,1565,9,5,3,22,31,84%,13%,3%,10 Nov 2015,25 Sep 2017,16:18
97,outof,1565,7,4,2,9,16,100%,-,-,05 Oct 2015,25 Sep 2017,16:18
98,eramag,1564,20,11,7,33,48,96%,4%,-,02 Nov 2015,25 Sep 2017,16:18
99,TwoLAgit2q,1564,8,10,12,59,79,86%,11%,3%,08 Apr 2016,25 Sep 2017,16:18
100,Ghengis Don,1564,7,7,7,32,39,95%,3%,3%,15 Oct 2015,25 Sep 2017,16:18
101,Vodonos,1564,7,4,1,10,15,100%,-,-,25 Jan 2016,25 Sep 2017,16:18
102,Ember,1564,4,1,6,15,15,100%,-,-,24 Apr 2016,25 Sep 2017,16:18
103,pafepe,1564,2,4,4,11,29,41%,10%,48%,27 Oct 2015,25 Sep 2017,16:18
104,dengzi,1562,25,8,6,28,74,88%,12%,-,19 Feb 2015,25 Sep 2017,16:18
105,Life-Water-Rainbow,1562,12,5,4,15,36,75%,14%,11%,08 Dec 2015,25 Sep 2017,16:18
106,crunchfactor,1561,10,12,10,40,42,98%,2%,-,23 Jan 2016,25 Sep 2017,16:18
107,HoodedKangaroo,1561,7,6,8,34,39,90%,10%,-,19 Oct 2015,25 Sep 2017,16:18
108,The_Force,1560,7,8,2,21,29,93%,7%,-,25 Nov 2015,25 Sep 2017,16:18
109,Reynard,1559,3,5,1,15,17,94%,6%,-,04 Mar 2016,25 Sep 2017,16:18
110,heyitsthatguy,1558,9,11,5,36,42,95%,5%,-,07 Sep 2016,25 Sep 2017,16:18
111,dannyb2325,1557,23,12,21,92,106,90%,8%,2%,29 Oct 2015,25 Sep 2017,16:18
112,Hispanico,1557,19,12,2,26,41,95%,5%,-,22 Jan 2016,25 Sep 2017,16:18
113,ColonelBlair,1557,11,-,2,9,14,93%,7%,-,23 Nov 2015,25 Sep 2017,16:18
114,Deal_guy,1557,4,4,2,12,14,93%,7%,-,20 Mar 2016,25 Sep 2017,16:18
115,merekjackals,1557,3,7,7,31,33,91%,9%,-,26 Dec 2015,25 Sep 2017,16:18
116,Greystone,1556,16,6,5,32,40,88%,13%,-,23 Oct 2015,25 Sep 2017,16:18
117,Tooony,1555,2,4,2,14,17,94%,6%,-,17 Nov 2015,25 Sep 2017,16:18
118,Captain Moon,1554,9,4,1,8,16,100%,-,-,25 Apr 2016,25 Sep 2017,16:18
119,Danh81,1553,22,11,6,37,53,89%,2%,9%,02 Nov 2015,25 Sep 2017,16:18
120,Scotwithonet,1553,10,6,3,24,30,93%,7%,-,17 Aug 2016,25 Sep 2017,16:18
121,Plutonium238,1553,5,9,4,17,27,81%,4%,15%,28 Dec 2015,25 Sep 2017,16:18
122,Bigbk90210,1552,21,14,5,69,87,72%,24%,3%,27 Mar 2016,25 Sep 2017,16:18
123,Rum Runner,1552,20,14,9,70,78,87%,10%,3%,15 Oct 2015,25 Sep 2017,16:18
124,Cavko,1552,12,10,5,13,33,97%,3%,-,02 Nov 2015,25 Sep 2017,16:18
125,BenOhBee,1552,11,3,5,9,30,93%,3%,3%,13 Jan 2016,25 Sep 2017,16:18
126,BattleFrog,1552,8,9,7,12,34,88%,3%,9%,28 Mar 2016,25 Sep 2017,16:18
127,BrAKeR,1552,8,2,-,10,17,76%,-,24%,22 Oct 2015,25 Sep 2017,16:18
128,Denzalo,1551,29,8,2,49,61,79%,20%,2%,22 Oct 2015,25 Sep 2017,16:18
129,Galiom,1550,11,4,2,9,21,100%,-,-,23 Oct 2016,25 Sep 2017,16:18
130,TheodorusBear,1549,16,10,10,35,83,92%,7%,1%,19 Mar 2016,25 Sep 2017,16:18
131,Redneck Empire,1549,12,15,9,43,51,94%,6%,-,23 Oct 2015,25 Sep 2017,16:18
132,HMAS TKRS,1549,5,6,7,12,21,95%,-,5%,29 Sep 2016,25 Sep 2017,16:18
133,scoie,1548,12,7,8,23,44,93%,7%,-,05 Apr 2016,25 Sep 2017,16:18
134,FlorinTheBaron,1548,3,5,5,18,24,96%,-,4%,23 Oct 2015,25 Sep 2017,16:18
135,scottagibson,1547,10,11,2,21,33,91%,6%,3%,30 Oct 2015,25 Sep 2017,16:18
136,MartinMartyMarshall,1547,10,4,2,11,24,100%,-,-,07 Jan 2016,25 Sep 2017,16:18
137,BuffinMuffalo,1546,3,2,1,9,10,90%,-,10%,07 Jul 2016,25 Sep 2017,16:18
138,ATulkki,1545,16,15,7,42,62,94%,6%,-,24 Oct 2016,25 Sep 2017,16:18
139,comradecaglar,1542,12,4,1,12,28,82%,4%,14%,10 Jun 2016,25 Sep 2017,16:18
140,bolminator,1541,12,4,1,16,28,93%,7%,-,26 Nov 2014,25 Sep 2017,16:18
141,Mcgrathe,1541,4,10,7,23,39,87%,10%,3%,19 Oct 2015,25 Sep 2017,16:18
142,BigD,1540,7,8,3,25,49,86%,10%,4%,27 Apr 2015,25 Sep 2017,16:18
143,ginco,1540,6,6,-,12,22,77%,-,23%,17 Oct 2015,25 Sep 2017,16:18
144,PelicanEAD,1539,11,11,8,22,50,94%,-,6%,26 Dec 2015,25 Sep 2017,16:18
145,Balalaika,1539,8,5,4,23,29,97%,3%,-,31 Dec 2015,25 Sep 2017,16:18
146,Styxandstones,1539,6,9,5,62,67,82%,18%,-,12 Nov 2016,25 Sep 2017,16:18
147,FutureKat,1538,7,14,17,45,71,86%,8%,6%,26 Jul 2016,25 Sep 2017,16:18
148,rayywan,1538,3,6,5,13,20,90%,-,10%,07 Dec 2015,25 Sep 2017,16:18
149,Senor D,1537,4,8,4,10,20,95%,5%,-,29 Oct 2015,25 Sep 2017,16:18
150,Das Stildo,1536,8,8,8,28,36,86%,11%,3%,19 Oct 2015,25 Sep 2017,16:18
151,Intrepid_,1536,5,9,6,32,38,79%,8%,13%,15 Dec 2015,25 Sep 2017,16:18
152,Lord Akkrand,1534,15,6,3,28,41,95%,5%,-,07 Oct 2015,25 Sep 2017,16:18
153,CallmeSIFU,1534,10,3,2,8,17,100%,-,-,07 Dec 2015,25 Sep 2017,16:18
154,ConMan,1533,25,1,2,26,36,92%,-,8%,23 Feb 2016,25 Sep 2017,16:18
155,Thanabur,1533,12,11,4,17,33,88%,6%,6%,19 Feb 2016,25 Sep 2017,16:18
156,Dixinormus,1532,13,9,2,17,31,90%,6%,3%,17 Feb 2017,25 Sep 2017,16:18
157,RedsCommando,1532,13,3,8,23,35,94%,3%,3%,22 Nov 2015,25 Sep 2017,16:18
158,Ttalaric,1532,7,4,4,16,28,75%,18%,7%,25 Oct 2015,25 Sep 2017,16:18
159,Slayer15359,1532,6,3,1,11,15,93%,-,7%,18 Mar 2017,25 Sep 2017,16:18
160,MightyDoc,1531,10,21,6,19,46,96%,-,4%,11 Nov 2015,25 Sep 2017,16:18
161,DarkCityStrings,1531,10,6,1,21,26,88%,12%,-,18 Oct 2015,25 Sep 2017,16:18
162,Sukarr,1530,27,10,1,18,56,84%,-,16%,21 Aug 2016,25 Sep 2017,16:18
163,sufyuf,1529,29,21,12,25,88,91%,9%,-,16 May 2016,25 Sep 2017,16:18
164,Artie Cash,1529,9,5,2,16,25,96%,-,4%,19 Oct 2015,25 Sep 2017,16:18
165,bnte,1528,10,7,3,38,49,82%,16%,2%,10 Jan 2016,25 Sep 2017,16:18
166,Trent,1527,4,5,8,26,31,94%,6%,-,16 Oct 2015,25 Sep 2017,16:18
167,CrustyPlums,1526,9,8,3,13,22,100%,-,-,25 Oct 2015,25 Sep 2017,16:18
168,Krink,1525,11,8,6,12,32,91%,-,9%,05 Mar 2016,25 Sep 2017,16:18
169,DarthNinjaJesus,1525,10,6,5,18,27,96%,4%,-,14 Nov 2016,25 Sep 2017,16:18
170,Kynuren,1525,10,2,2,9,15,100%,-,-,23 May 2016,25 Sep 2017,16:18
171,eemoo,1525,7,-,-,8,11,82%,9%,9%,31 Dec 2015,25 Sep 2017,16:18
172,SadikJason,1525,6,18,3,35,42,81%,12%,7%,08 Nov 2015,25 Sep 2017,16:18
173,Zannalb,1525,5,3,3,7,15,100%,-,-,17 Oct 2015,25 Sep 2017,16:18
174,enterthefoo,1524,23,22,22,71,125,88%,10%,2%,26 Dec 2015,25 Sep 2017,16:18
175,freonsk,1524,12,6,3,25,35,89%,11%,-,17 Oct 2015,25 Sep 2017,16:18
176,Neoxxus,1524,6,3,-,12,12,50%,-,50%,24 Oct 2016,25 Sep 2017,16:18
177,EZup,1523,8,9,2,22,26,88%,12%,-,18 Oct 2015,25 Sep 2017,16:18
178,Samtheawesome1,1522,17,9,13,26,75,77%,11%,12%,14 Feb 2016,25 Sep 2017,16:18
179,Agro_vacation,1522,8,4,1,14,18,100%,-,-,19 Dec 2015,25 Sep 2017,16:18
180,Shun79,1521,16,2,1,8,22,100%,-,-,26 Dec 2015,25 Sep 2017,16:18
181,Fred,1520,14,4,1,30,36,86%,6%,8%,20 Oct 2015,25 Sep 2017,16:18
182,Calvoria,1520,4,2,-,4,6,100%,-,-,22 Aug 2016,25 Sep 2017,16:18
183,Pancho Villa,1520,3,6,5,19,21,90%,10%,-,19 Oct 2015,25 Sep 2017,16:18
184,Futceez,1518,5,3,2,7,13,100%,-,-,05 Dec 2016,25 Sep 2017,16:18
185,Watermelone,1517,6,4,3,15,23,91%,-,9%,19 Nov 2015,25 Sep 2017,16:18
186,Bungholio,1516,7,13,4,30,38,89%,5%,5%,07 Mar 2016,25 Sep 2017,16:18
187,Daviant,1516,2,2,1,13,21,67%,10%,24%,27 Oct 2015,25 Sep 2017,16:18
188,Thomaro,1515,9,7,13,30,44,93%,7%,-,18 Nov 2015,25 Sep 2017,16:18
189,ONEQUIK7,1515,4,6,4,8,16,81%,-,19%,24 Oct 2015,25 Sep 2017,16:18
190,Rykerfell,1514,8,3,5,9,19,100%,-,-,24 Dec 2015,25 Sep 2017,16:18
191,Alphago,1514,8,2,5,28,33,85%,15%,-,12 Mar 2016,25 Sep 2017,16:18
192,Ser Flx,1514,5,6,5,27,31,87%,13%,-,18 Oct 2015,25 Sep 2017,16:18
193,Gatornation,1514,2,2,-,6,6,100%,-,-,27 Jun 2017,25 Sep 2017,16:18
194,Aj149,1513,7,9,7,25,47,79%,11%,11%,29 May 2016,25 Sep 2017,16:18
195,WhiteJesus,1513,3,5,2,15,16,94%,-,6%,10 Jan 2017,25 Sep 2017,16:18
196,Silverberg,1512,12,5,6,10,48,83%,15%,2%,09 Feb 2016,25 Sep 2017,16:18
197,minemarco,1511,4,5,2,18,21,95%,5%,-,17 Oct 2015,25 Sep 2017,16:18
198,oNare,1510,23,7,2,14,39,85%,5%,10%,22 Dec 2015,25 Sep 2017,16:18
199,Cephus,1510,7,2,4,14,18,83%,-,17%,10 Apr 2017,25 Sep 2017,16:18
200,dnmart,1510,6,10,12,11,29,97%,-,3%,06 May 2016,25 Sep 2017,16:18
201,yimmarans,1510,6,5,8,28,36,86%,14%,-,11 Dec 2015,25 Sep 2017,16:18
202,Dandale,1509,6,4,8,42,45,89%,2%,9%,03 Dec 2016,25 Sep 2017,16:18
203,ArchieBold,1509,1,7,2,11,18,83%,6%,11%,03 Jul 2016,25 Sep 2017,16:18
204,Hator Tots,1508,41,10,13,29,110,86%,5%,9%,06 Nov 2015,25 Sep 2017,16:18
205,Lallante,1508,8,4,-,11,18,83%,17%,-,19 Dec 2016,25 Sep 2017,16:18
206,TimberWolf,1508,3,1,3,13,14,71%,-,29%,11 Mar 2016,25 Sep 2017,16:18
207,kelin10dragon,1506,32,22,15,30,107,82%,12%,6%,19 Oct 2015,25 Sep 2017,16:18
208,Gitel,1506,14,-,1,19,26,81%,19%,-,28 Jun 2016,25 Sep 2017,16:18
209,RicGold,1505,14,14,13,54,72,99%,1%,-,22 Oct 2015,25 Sep 2017,16:18
210,Ehmer,1505,12,1,-,5,15,87%,7%,7%,20 Nov 2015,25 Sep 2017,16:18
211,Monkeymofo,1505,5,10,22,63,76,80%,18%,1%,20 May 2016,25 Sep 2017,16:18
212,Huntch,1505,4,1,2,7,8,88%,13%,-,08 Sep 2016,25 Sep 2017,16:18
213,Phil t,1504,8,6,3,23,26,81%,15%,4%,26 Oct 2015,25 Sep 2017,16:18
214,Maxatrillion,1504,6,5,-,4,12,92%,-,8%,21 Feb 2016,25 Sep 2017,16:18
215,General Castro,1504,5,7,4,16,29,76%,7%,17%,05 Dec 2016,25 Sep 2017,16:18
216,GoBills2016,1504,5,3,2,17,19,89%,5%,5%,09 Dec 2015,25 Sep 2017,16:18
217,Aegon,1504,3,1,1,12,16,75%,19%,6%,29 Feb 2016,25 Sep 2017,16:18
218,BlueSpheal,1503,22,7,6,11,40,98%,3%,-,20 May 2016,25 Sep 2017,16:18
219,Strooch,1503,18,3,2,5,38,84%,8%,8%,13 Nov 2016,25 Sep 2017,16:18
220,Lotgewjai,1503,4,6,-,11,16,94%,6%,-,24 Oct 2015,25 Sep 2017,16:18
221,SteveO,1500,10,7,5,13,38,92%,3%,5%,21 May 2015,25 Sep 2017,16:18
222,Ascot Hammers,1499,11,7,4,26,43,72%,21%,7%,08 Mar 2016,25 Sep 2017,16:18
223,Jacksonisboss,1498,7,1,-,9,12,92%,8%,-,03 Apr 2017,25 Sep 2017,16:18
224,Fear the Sea,1497,23,23,8,118,134,89%,11%,-,18 Oct 2015,25 Sep 2017,16:18
225,Questionable Karma,1497,4,6,-,11,16,75%,6%,19%,19 Mar 2017,25 Sep 2017,16:18
226,The Baron,1496,9,12,12,56,67,82%,16%,1%,05 Oct 2015,25 Sep 2017,16:18
227,Dr SynisteR,1495,48,43,33,32,176,85%,14%,2%,15 Jan 2016,25 Sep 2017,16:18
228,TommyGun,1494,12,3,-,12,18,89%,-,11%,17 Oct 2015,25 Sep 2017,16:18
229,nmaloney,1494,1,5,7,8,20,85%,10%,5%,19 Jan 2016,25 Sep 2017,16:18
230,Skae,1493,6,5,3,24,31,77%,13%,10%,09 May 2016,25 Sep 2017,16:18
231,Acuavit,1492,3,2,4,8,14,71%,14%,14%,28 Oct 2015,25 Sep 2017,16:18
232,TheBlazer,1491,8,12,-,12,25,96%,4%,-,16 Oct 2015,25 Sep 2017,16:18
233,viceview51,1491,6,3,9,19,26,96%,4%,-,05 Oct 2015,25 Sep 2017,16:18
234,Wtt2b,1491,4,6,1,6,12,92%,8%,-,05 Apr 2017,25 Sep 2017,16:18
235,DonShotty,1491,4,2,-,5,7,100%,-,-,17 Mar 2016,25 Sep 2017,16:18
236,KrisZ,1491,1,4,3,7,10,100%,-,-,24 Dec 2015,25 Sep 2017,16:18
237,Iceburg33,1490,10,8,11,51,62,76%,24%,-,26 Mar 2016,25 Sep 2017,16:18
238,Entrican,1490,7,7,2,15,22,91%,9%,-,28 Jul 2015,25 Sep 2017,16:18
239,Rellim,1490,5,9,3,8,24,83%,8%,8%,23 Oct 2015,25 Sep 2017,16:18
240,theZissou,1490,2,2,5,19,23,78%,9%,13%,31 Aug 2016,25 Sep 2017,16:18
241,Hurricane,1489,12,3,1,10,23,91%,4%,4%,11 Dec 2015,25 Sep 2017,16:18
242,Dweenig,1489,8,3,2,6,24,88%,4%,8%,25 Mar 2017,25 Sep 2017,16:18
243,Brsku3,1489,4,11,16,44,51,84%,14%,2%,24 Oct 2015,25 Sep 2017,16:18
244,Nojo34,1488,23,31,33,28,184,82%,15%,3%,02 Jan 2016,25 Sep 2017,16:18
245,kdtallllll,1488,11,23,9,11,51,90%,10%,-,16 Oct 2015,25 Sep 2017,16:18
246,Grelkara,1488,4,6,2,17,22,86%,9%,5%,14 Oct 2015,25 Sep 2017,16:18
247,Juan,1487,8,3,-,7,24,63%,8%,29%,19 Jan 2015,25 Sep 2017,16:18
248,Mason240,1487,7,2,1,13,16,69%,13%,19%,14 Oct 2015,25 Sep 2017,16:18
249,Bignastey,1487,5,2,1,10,13,62%,-,38%,02 Nov 2015,25 Sep 2017,16:18
250,Muckdog21,1485,11,10,5,28,41,78%,15%,7%,05 Nov 2015,25 Sep 2017,16:18
251,MisfitToys,1485,10,3,1,17,25,100%,-,-,16 Oct 2015,25 Sep 2017,16:18
252,Aslamlevy,1484,20,9,5,38,55,91%,9%,-,11 Nov 2015,25 Sep 2017,16:18
253,Toughcity,1484,10,7,8,36,51,82%,16%,2%,31 Jan 2016,25 Sep 2017,16:18
254,asdf,1484,8,4,1,8,21,81%,5%,14%,31 Jan 2015,25 Sep 2017,16:18
255,Otherguy,1482,8,-,3,11,16,81%,13%,6%,01 Jun 2016,25 Sep 2017,16:18
256,Azureangel,1482,5,5,1,15,20,90%,5%,5%,16 Oct 2015,25 Sep 2017,16:18
257,Aerial Assault,1482,-,1,4,9,12,100%,-,-,31 May 2016,25 Sep 2017,16:18
258,Spy3,1480,15,1,2,13,21,90%,10%,-,15 Oct 2015,25 Sep 2017,16:18
259,mduban4,1480,12,5,1,17,27,100%,-,-,21 Oct 2015,25 Sep 2017,16:18
260,ZekeShepLinc,1479,28,7,11,73,82,67%,18%,15%,23 Oct 2015,25 Sep 2017,16:18
261,Chensta,1479,8,3,-,15,15,87%,7%,7%,24 Feb 2016,25 Sep 2017,16:18
262,Felisens,1479,5,1,1,6,9,100%,-,-,28 Oct 2015,25 Sep 2017,16:18
263,kpav04,1479,4,1,1,6,9,100%,-,-,10 Apr 2016,25 Sep 2017,16:18
264,Forefall,1479,2,2,3,7,8,100%,-,-,18 Oct 2015,25 Sep 2017,16:18
265,Dirtyscope,1478,36,9,10,60,80,85%,11%,4%,16 Oct 2015,25 Sep 2017,16:18
266,Raptor040,1478,11,5,5,33,36,94%,6%,-,16 Oct 2015,25 Sep 2017,16:18
267,flydarkwings805,1478,4,12,7,30,38,89%,5%,5%,30 May 2016,25 Sep 2017,16:18
268,TopGun,1476,9,4,3,20,27,93%,4%,4%,18 Mar 2016,25 Sep 2017,16:18
269,Xavior St Cloud,1476,7,3,1,6,11,100%,-,-,19 Feb 2016,25 Sep 2017,16:18
270,Zxander,1476,6,6,5,25,37,70%,27%,3%,06 Aug 2015,25 Sep 2017,16:18
