rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1930,13,11,6,38,44,95%,5%,-,10 Aug 2015,02 Oct 2017,12:41
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,02 Oct 2017,12:41
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,02 Oct 2017,12:41
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,02 Oct 2017,12:41
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,02 Oct 2017,12:41
6,Mccormdr,1754,21,34,12,93,104,89%,7%,4%,15 Apr 2016,02 Oct 2017,12:41
7,AdmiralAdama,1752,32,18,10,81,103,83%,13%,4%,21 Mar 2015,02 Oct 2017,12:41
8,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,02 Oct 2017,12:41
9,STAD,1742,16,4,-,13,22,95%,5%,-,10 Apr 2016,02 Oct 2017,12:41
10,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,02 Oct 2017,12:41
11,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,02 Oct 2017,12:41
12,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,02 Oct 2017,12:41
13,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,02 Oct 2017,12:41
14,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,02 Oct 2017,12:41
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,02 Oct 2017,12:41
16,ayrm,1698,20,17,9,89,96,72%,18%,10%,24 Oct 2015,02 Oct 2017,12:41
17,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,02 Oct 2017,12:41
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,02 Oct 2017,12:41
19,Flappie,1686,10,8,6,48,56,86%,14%,-,09 Dec 2016,02 Oct 2017,12:41
20,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,02 Oct 2017,12:41
21,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,02 Oct 2017,12:41
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,02 Oct 2017,12:41
23,Awen,1678,20,16,6,54,64,95%,5%,-,17 Nov 2016,02 Oct 2017,12:41
24,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,02 Oct 2017,12:41
25,PanzerKosstra,1675,27,20,14,104,126,80%,4%,16%,30 Oct 2015,02 Oct 2017,12:41
26,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,02 Oct 2017,12:41
27,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,02 Oct 2017,12:41
28,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,02 Oct 2017,12:41
29,oz0n3,1653,9,3,4,19,25,92%,8%,-,16 Oct 2015,02 Oct 2017,12:41
30,Mackbluey,1653,5,4,1,15,16,100%,-,-,14 Apr 2017,02 Oct 2017,12:41
31,_Blackout_,1652,8,4,-,24,25,96%,4%,-,01 Jul 2016,02 Oct 2017,12:41
32,Rappo,1652,6,2,1,10,10,100%,-,-,04 May 2017,02 Oct 2017,12:41
33,Nightwind,1650,9,15,8,38,43,100%,-,-,09 Feb 2017,02 Oct 2017,12:41
34,McCoolxxx,1647,13,8,7,45,60,82%,7%,12%,19 Feb 2016,02 Oct 2017,12:41
35,SexxxyBastard69,1646,6,3,2,10,13,100%,-,-,07 Apr 2016,02 Oct 2017,12:41
36,Hazelsmasher,1642,11,4,-,18,22,86%,14%,-,24 Oct 2015,02 Oct 2017,12:41
37,Captain_Simian,1641,14,5,5,32,38,92%,5%,3%,25 Oct 2015,02 Oct 2017,12:41
38,Jimidy,1640,5,2,5,12,14,100%,-,-,27 Oct 2015,02 Oct 2017,12:41
39,ephogy,1638,16,4,3,27,43,79%,14%,7%,20 Oct 2015,02 Oct 2017,12:41
40,JimLeyland,1636,4,10,1,18,19,100%,-,-,20 Jan 2016,02 Oct 2017,12:41
41,Bunker_900,1634,4,8,5,20,27,89%,7%,4%,23 Oct 2015,02 Oct 2017,12:41
42,BigKillaB,1633,14,17,11,18,48,100%,-,-,14 Nov 2015,02 Oct 2017,12:41
43,Manager,1633,11,15,3,32,47,91%,6%,2%,01 Aug 2015,02 Oct 2017,12:41
44,Centralized,1633,3,2,3,10,10,100%,-,-,09 Feb 2017,02 Oct 2017,12:41
45,alexcata,1631,18,3,2,21,37,97%,3%,-,23 Oct 2015,02 Oct 2017,12:41
46,fox-alpha-one,1631,15,14,5,57,77,86%,10%,4%,26 Dec 2015,02 Oct 2017,12:41
47,Niverio,1630,40,34,18,69,174,83%,13%,4%,26 Oct 2015,02 Oct 2017,12:41
48,Psychodelic,1628,34,16,19,86,122,87%,11%,2%,24 May 2016,02 Oct 2017,12:41
49,broesph,1621,9,7,4,20,27,85%,4%,11%,08 Nov 2015,02 Oct 2017,12:41
50,Denzalo,1620,30,8,2,50,62,79%,19%,2%,22 Oct 2015,02 Oct 2017,12:41
51,FleetAdmiralShanley,1620,19,22,10,35,66,91%,9%,-,29 Dec 2015,02 Oct 2017,12:41
52,Flintstones,1620,18,1,1,19,27,81%,11%,7%,17 Oct 2015,02 Oct 2017,12:41
53,Seethestar,1617,12,-,-,11,13,100%,-,-,15 Oct 2015,02 Oct 2017,12:41
54,SuddenDeath,1617,7,10,7,25,41,85%,10%,5%,12 Nov 2015,02 Oct 2017,12:41
55,Danh81,1616,23,11,6,38,54,89%,2%,9%,02 Nov 2015,02 Oct 2017,12:41
56,TwoLAgit2q,1616,9,10,12,60,80,86%,11%,3%,08 Apr 2016,02 Oct 2017,12:41
57,Japes,1616,9,4,3,19,21,90%,-,10%,17 Feb 2016,02 Oct 2017,12:41
58,KevlarGolem,1616,9,4,1,11,17,94%,6%,-,24 Oct 2015,02 Oct 2017,12:41
59,pscottwi,1615,8,6,6,15,24,100%,-,-,14 Oct 2015,02 Oct 2017,12:41
60,Eziekiel665,1609,11,5,3,29,31,90%,10%,-,21 Feb 2016,02 Oct 2017,12:41
61,Sydogg,1609,9,8,6,35,41,80%,12%,7%,26 Oct 2015,02 Oct 2017,12:41
62,Superclix,1608,27,14,12,45,76,91%,4%,5%,26 Mar 2016,02 Oct 2017,12:41
63,AdmNimitz,1608,10,9,15,38,45,100%,-,-,25 Oct 2015,02 Oct 2017,12:41
64,JohnnyMacDaddy,1604,8,-,-,7,9,100%,-,-,04 Oct 2016,02 Oct 2017,12:41
65,Ghetojunky,1602,13,2,-,11,18,89%,6%,6%,16 Oct 2015,02 Oct 2017,12:41
66,Yammy,1601,10,12,6,29,52,69%,4%,27%,14 Oct 2015,02 Oct 2017,12:41
67,pagsus,1600,14,11,5,43,59,90%,8%,2%,25 Jun 2016,02 Oct 2017,12:41
68,UMPUSTEN,1599,10,9,4,33,59,81%,17%,2%,24 Jun 2015,02 Oct 2017,12:41
69,aaronpuj,1598,18,16,8,66,71,87%,7%,6%,16 Nov 2015,02 Oct 2017,12:41
70,Thebigbob,1598,9,13,3,25,33,91%,9%,-,23 Oct 2015,02 Oct 2017,12:41
71,Fibonacci,1598,6,5,3,18,25,100%,-,-,19 Oct 2015,02 Oct 2017,12:41
72,dasAndy,1595,37,18,7,61,83,90%,4%,6%,29 Aug 2016,02 Oct 2017,12:41
73,Jkatsalis,1595,17,9,5,25,36,97%,-,3%,17 Oct 2015,02 Oct 2017,12:41
74,PerAspera,1595,11,2,1,14,18,100%,-,-,06 Aug 2016,02 Oct 2017,12:41
75,Sadams25,1594,10,1,1,11,16,88%,6%,6%,17 Jan 2016,02 Oct 2017,12:41
76,ATulkki,1592,17,16,7,43,64,94%,6%,-,24 Oct 2016,02 Oct 2017,12:41
77,nevalken,1590,9,3,4,15,22,100%,-,-,14 Oct 2015,02 Oct 2017,12:41
78,1008001,1588,15,5,13,34,50,86%,14%,-,24 Oct 2015,02 Oct 2017,12:41
79,Aqeel,1588,4,3,1,7,8,100%,-,-,27 Nov 2015,02 Oct 2017,12:41
80,Samborin,1587,11,-,-,10,12,100%,-,-,17 Oct 2015,02 Oct 2017,12:41
81,boondockbear,1587,10,3,2,19,24,96%,4%,-,17 Dec 2015,02 Oct 2017,12:41
82,Bubbling,1584,10,10,5,26,33,94%,3%,3%,01 Dec 2016,02 Oct 2017,12:41
83,Axl24Lax,1582,27,11,4,53,63,90%,2%,8%,07 Nov 2015,02 Oct 2017,12:41
84,Thydeon,1581,19,-,1,12,24,92%,8%,-,14 Jan 2016,02 Oct 2017,12:41
85,A  Noose,1581,16,5,3,23,28,89%,7%,4%,19 Oct 2015,02 Oct 2017,12:41
86,SadikJason,1581,6,19,3,36,43,81%,12%,7%,08 Nov 2015,02 Oct 2017,12:41
87,Erik,1580,20,10,2,12,33,100%,-,-,22 May 2016,02 Oct 2017,12:41
88,ida1,1579,8,1,1,16,18,100%,-,-,17 Dec 2016,02 Oct 2017,12:41
89,Radioactivity,1577,24,15,13,76,110,85%,8%,6%,20 Oct 2015,02 Oct 2017,12:41
90,dustin722,1576,14,6,4,29,39,92%,3%,5%,24 Oct 2015,02 Oct 2017,12:41
91,Fear the Sea,1575,24,23,9,121,137,89%,11%,-,18 Oct 2015,02 Oct 2017,12:41
92,Lagrangian,1574,9,2,-,12,19,100%,-,-,07 Dec 2016,02 Oct 2017,12:41
93,Nabby19,1573,12,3,2,16,23,87%,13%,-,16 Feb 2016,02 Oct 2017,12:41
94,TheStash,1572,16,10,3,19,51,84%,4%,12%,27 Apr 2015,02 Oct 2017,12:41
95,ProfessorMurder,1570,5,3,1,11,15,93%,-,7%,22 Nov 2015,02 Oct 2017,12:41
96,BitterBlade72,1569,7,1,1,14,25,44%,12%,44%,27 Oct 2015,02 Oct 2017,12:41
97,Traph,1569,5,7,1,14,20,100%,-,-,25 Oct 2015,02 Oct 2017,12:41
98,Dasit,1567,2,1,3,11,14,93%,-,7%,02 Dec 2016,02 Oct 2017,12:41
99,Daines,1565,9,6,-,17,19,95%,5%,-,26 Jun 2016,02 Oct 2017,12:41
100,Bungholio,1565,7,13,4,31,39,87%,8%,5%,07 Mar 2016,02 Oct 2017,12:41
101,outof,1565,7,4,2,9,16,100%,-,-,05 Oct 2015,02 Oct 2017,12:41
102,eramag,1564,20,11,7,33,48,96%,4%,-,02 Nov 2015,02 Oct 2017,12:41
103,Ghengis Don,1564,7,7,7,32,39,95%,3%,3%,15 Oct 2015,02 Oct 2017,12:41
104,Vodonos,1564,7,4,1,10,15,100%,-,-,25 Jan 2016,02 Oct 2017,12:41
105,Ember,1564,4,1,6,15,15,100%,-,-,24 Apr 2016,02 Oct 2017,12:41
106,pafepe,1564,2,4,4,11,29,41%,10%,48%,27 Oct 2015,02 Oct 2017,12:41
107,dengzi,1562,25,8,6,28,74,88%,12%,-,19 Feb 2015,02 Oct 2017,12:41
108,Life-Water-Rainbow,1562,12,5,4,15,36,75%,14%,11%,08 Dec 2015,02 Oct 2017,12:41
109,crunchfactor,1561,10,12,10,40,42,98%,2%,-,23 Jan 2016,02 Oct 2017,12:41
110,HoodedKangaroo,1561,7,6,8,34,39,90%,10%,-,19 Oct 2015,02 Oct 2017,12:41
111,The_Force,1560,7,8,2,21,29,93%,7%,-,25 Nov 2015,02 Oct 2017,12:41
112,Reynard,1559,3,5,1,15,17,94%,6%,-,04 Mar 2016,02 Oct 2017,12:41
113,SirGAZmbe,1558,1,8,8,20,24,92%,4%,4%,19 Feb 2017,02 Oct 2017,12:41
114,dannyb2325,1557,23,12,21,92,106,90%,8%,2%,29 Oct 2015,02 Oct 2017,12:41
115,Hispanico,1557,19,12,2,26,41,95%,5%,-,22 Jan 2016,02 Oct 2017,12:41
116,ColonelBlair,1557,11,-,2,9,14,93%,7%,-,23 Nov 2015,02 Oct 2017,12:41
117,Deal_guy,1557,4,4,2,12,14,93%,7%,-,20 Mar 2016,02 Oct 2017,12:41
118,merekjackals,1557,3,7,7,31,33,91%,9%,-,26 Dec 2015,02 Oct 2017,12:41
119,Greystone,1556,16,6,5,32,40,88%,13%,-,23 Oct 2015,02 Oct 2017,12:41
120,Tooony,1555,2,4,2,14,17,94%,6%,-,17 Nov 2015,02 Oct 2017,12:41
121,Captain Moon,1554,9,4,1,8,16,100%,-,-,25 Apr 2016,02 Oct 2017,12:41
122,Scotwithonet,1553,10,6,3,24,30,93%,7%,-,17 Aug 2016,02 Oct 2017,12:41
123,Plutonium238,1553,5,9,4,17,27,81%,4%,15%,28 Dec 2015,02 Oct 2017,12:41
124,Rum Runner,1552,20,14,9,70,78,87%,10%,3%,15 Oct 2015,02 Oct 2017,12:41
125,Cavko,1552,12,10,5,13,33,97%,3%,-,02 Nov 2015,02 Oct 2017,12:41
126,BenOhBee,1552,11,3,5,9,30,93%,3%,3%,13 Jan 2016,02 Oct 2017,12:41
127,BattleFrog,1552,8,9,7,12,34,88%,3%,9%,28 Mar 2016,02 Oct 2017,12:41
128,BrAKeR,1552,8,2,-,10,17,76%,-,24%,22 Oct 2015,02 Oct 2017,12:41
129,Galiom,1550,11,4,2,9,21,100%,-,-,23 Oct 2016,02 Oct 2017,12:41
130,Redneck Empire,1549,12,15,9,43,51,94%,6%,-,23 Oct 2015,02 Oct 2017,12:41
131,HMAS TKRS,1549,5,6,7,12,21,95%,-,5%,29 Sep 2016,02 Oct 2017,12:41
132,dodo3442,1548,19,3,1,22,33,88%,12%,-,08 Jul 2016,02 Oct 2017,12:41
133,scoie,1548,12,7,8,23,44,93%,7%,-,05 Apr 2016,02 Oct 2017,12:41
134,FlorinTheBaron,1548,3,5,5,18,24,96%,-,4%,23 Oct 2015,02 Oct 2017,12:41
135,scottagibson,1547,10,11,2,21,33,91%,6%,3%,30 Oct 2015,02 Oct 2017,12:41
136,MartinMartyMarshall,1547,10,4,2,11,24,100%,-,-,07 Jan 2016,02 Oct 2017,12:41
137,BuffinMuffalo,1546,3,2,1,9,10,90%,-,10%,07 Jul 2016,02 Oct 2017,12:41
138,comradecaglar,1542,12,4,1,12,28,82%,4%,14%,10 Jun 2016,02 Oct 2017,12:41
139,bolminator,1541,12,4,1,16,28,93%,7%,-,26 Nov 2014,02 Oct 2017,12:41
140,Mcgrathe,1541,5,10,7,23,40,88%,10%,3%,19 Oct 2015,02 Oct 2017,12:41
141,Iceburg33,1540,10,9,11,52,63,76%,24%,-,26 Mar 2016,02 Oct 2017,12:41
142,BigD,1540,7,8,3,25,49,86%,10%,4%,27 Apr 2015,02 Oct 2017,12:41
143,ginco,1540,6,6,-,12,22,77%,-,23%,17 Oct 2015,02 Oct 2017,12:41
144,PelicanEAD,1539,11,11,8,22,50,94%,-,6%,26 Dec 2015,02 Oct 2017,12:41
145,Balalaika,1539,8,5,4,23,29,97%,3%,-,31 Dec 2015,02 Oct 2017,12:41
146,rayywan,1538,3,6,5,13,20,90%,-,10%,07 Dec 2015,02 Oct 2017,12:41
147,Senor D,1537,4,8,4,10,20,95%,5%,-,29 Oct 2015,02 Oct 2017,12:41
148,Das Stildo,1536,8,8,8,28,36,86%,11%,3%,19 Oct 2015,02 Oct 2017,12:41
149,Intrepid_,1536,5,9,6,32,38,79%,8%,13%,15 Dec 2015,02 Oct 2017,12:41
150,Lord Akkrand,1534,15,6,3,28,41,95%,5%,-,07 Oct 2015,02 Oct 2017,12:41
151,CallmeSIFU,1534,10,3,2,8,17,100%,-,-,07 Dec 2015,02 Oct 2017,12:41
152,Brsku3,1534,4,11,17,45,52,85%,13%,2%,24 Oct 2015,02 Oct 2017,12:41
153,ConMan,1533,25,1,2,26,36,92%,-,8%,23 Feb 2016,02 Oct 2017,12:41
154,Thanabur,1533,12,11,4,17,33,88%,6%,6%,19 Feb 2016,02 Oct 2017,12:41
155,Dixinormus,1532,13,9,2,17,31,90%,6%,3%,17 Feb 2017,02 Oct 2017,12:41
156,RedsCommando,1532,13,3,8,23,35,94%,3%,3%,22 Nov 2015,02 Oct 2017,12:41
157,Ttalaric,1532,7,4,4,16,28,75%,18%,7%,25 Oct 2015,02 Oct 2017,12:41
158,Slayer15359,1532,6,3,1,11,15,93%,-,7%,18 Mar 2017,02 Oct 2017,12:41
159,MightyDoc,1531,10,21,6,19,46,96%,-,4%,11 Nov 2015,02 Oct 2017,12:41
160,DarkCityStrings,1531,10,6,1,21,26,88%,12%,-,18 Oct 2015,02 Oct 2017,12:41
161,Aj149,1531,8,9,7,26,48,79%,10%,10%,29 May 2016,02 Oct 2017,12:41
162,Sukarr,1530,27,10,1,18,56,84%,-,16%,21 Aug 2016,02 Oct 2017,12:41
163,Styxandstones,1530,6,10,7,67,72,82%,18%,-,12 Nov 2016,02 Oct 2017,12:41
164,Artie Cash,1529,9,5,2,16,25,96%,-,4%,19 Oct 2015,02 Oct 2017,12:41
165,Trent,1527,4,5,8,26,31,94%,6%,-,16 Oct 2015,02 Oct 2017,12:41
166,CrustyPlums,1526,9,8,3,13,22,100%,-,-,25 Oct 2015,02 Oct 2017,12:41
167,Krink,1525,11,8,6,12,32,91%,-,9%,05 Mar 2016,02 Oct 2017,12:41
168,DarthNinjaJesus,1525,10,6,5,18,27,96%,4%,-,14 Nov 2016,02 Oct 2017,12:41
169,Kynuren,1525,10,2,2,9,15,100%,-,-,23 May 2016,02 Oct 2017,12:41
170,eemoo,1525,7,-,-,8,11,82%,9%,9%,31 Dec 2015,02 Oct 2017,12:41
171,Zannalb,1525,5,3,3,7,15,100%,-,-,17 Oct 2015,02 Oct 2017,12:41
172,enterthefoo,1524,23,22,22,71,125,88%,10%,2%,26 Dec 2015,02 Oct 2017,12:41
173,freonsk,1524,12,6,3,25,35,89%,11%,-,17 Oct 2015,02 Oct 2017,12:41
174,Neoxxus,1524,6,3,-,12,12,50%,-,50%,24 Oct 2016,02 Oct 2017,12:41
175,EZup,1523,8,9,2,22,26,88%,12%,-,18 Oct 2015,02 Oct 2017,12:41
176,Samtheawesome1,1522,17,9,13,26,75,77%,11%,12%,14 Feb 2016,02 Oct 2017,12:41
177,Agro_vacation,1522,8,4,1,14,18,100%,-,-,19 Dec 2015,02 Oct 2017,12:41
178,Shun79,1521,16,2,1,8,22,100%,-,-,26 Dec 2015,02 Oct 2017,12:41
179,Fred,1520,14,4,1,30,36,86%,6%,8%,20 Oct 2015,02 Oct 2017,12:41
180,Calvoria,1520,4,2,-,4,6,100%,-,-,22 Aug 2016,02 Oct 2017,12:41
181,Pancho Villa,1520,3,6,5,19,21,90%,10%,-,19 Oct 2015,02 Oct 2017,12:41
182,Nojo34,1518,23,31,33,29,186,82%,15%,3%,02 Jan 2016,02 Oct 2017,12:41
183,Futceez,1518,5,3,2,7,13,100%,-,-,05 Dec 2016,02 Oct 2017,12:41
184,Watermelone,1517,6,4,3,15,23,91%,-,9%,19 Nov 2015,02 Oct 2017,12:41
185,heyitsthatguy,1516,9,11,5,37,43,95%,5%,-,07 Sep 2016,02 Oct 2017,12:41
186,Daviant,1516,2,2,1,13,21,67%,10%,24%,27 Oct 2015,02 Oct 2017,12:41
187,Thomaro,1515,9,7,13,30,44,93%,7%,-,18 Nov 2015,02 Oct 2017,12:41
188,ONEQUIK7,1515,4,6,4,8,16,81%,-,19%,24 Oct 2015,02 Oct 2017,12:41
189,Rykerfell,1514,8,3,5,9,19,100%,-,-,24 Dec 2015,02 Oct 2017,12:41
190,Alphago,1514,8,2,5,28,33,85%,15%,-,12 Mar 2016,02 Oct 2017,12:41
191,Ser Flx,1514,5,6,5,27,31,87%,13%,-,18 Oct 2015,02 Oct 2017,12:41
192,Gatornation,1514,2,2,-,6,6,100%,-,-,27 Jun 2017,02 Oct 2017,12:41
193,PEBL,1513,7,7,5,27,40,75%,15%,10%,01 Dec 2016,02 Oct 2017,12:41
194,WhiteJesus,1513,3,5,2,15,16,94%,-,6%,10 Jan 2017,02 Oct 2017,12:41
195,Silverberg,1512,12,5,6,10,48,83%,15%,2%,09 Feb 2016,02 Oct 2017,12:41
196,Wtt2b,1512,4,6,1,7,13,92%,8%,-,05 Apr 2017,02 Oct 2017,12:41
197,Questionable Karma,1511,4,6,1,12,17,76%,6%,18%,19 Mar 2017,02 Oct 2017,12:41
198,minemarco,1511,4,5,2,18,21,95%,5%,-,17 Oct 2015,02 Oct 2017,12:41
199,oNare,1510,23,7,2,14,39,85%,5%,10%,22 Dec 2015,02 Oct 2017,12:41
200,bnte,1510,10,7,3,39,50,82%,16%,2%,10 Jan 2016,02 Oct 2017,12:41
201,dnmart,1510,6,10,12,11,29,97%,-,3%,06 May 2016,02 Oct 2017,12:41
202,yimmarans,1510,6,5,8,28,36,86%,14%,-,11 Dec 2015,02 Oct 2017,12:41
203,TimberWolf,1510,3,1,3,15,16,75%,-,25%,11 Mar 2016,02 Oct 2017,12:41
204,ArchieBold,1509,1,7,2,11,18,83%,6%,11%,03 Jul 2016,02 Oct 2017,12:41
205,Hator Tots,1508,41,10,13,29,110,86%,5%,9%,06 Nov 2015,02 Oct 2017,12:41
206,TheodorusBear,1508,16,10,10,36,84,92%,7%,1%,19 Mar 2016,02 Oct 2017,12:41
207,Lallante,1508,8,4,-,11,18,83%,17%,-,19 Dec 2016,02 Oct 2017,12:41
208,kelin10dragon,1506,32,22,15,30,107,82%,12%,6%,19 Oct 2015,02 Oct 2017,12:41
209,Gitel,1506,14,-,1,19,26,81%,19%,-,28 Jun 2016,02 Oct 2017,12:41
210,RicGold,1505,14,14,13,54,72,99%,1%,-,22 Oct 2015,02 Oct 2017,12:41
211,Ehmer,1505,12,1,-,5,15,87%,7%,7%,20 Nov 2015,02 Oct 2017,12:41
212,Monkeymofo,1505,5,10,22,63,76,80%,18%,1%,20 May 2016,02 Oct 2017,12:41
213,Huntch,1505,4,1,2,7,8,88%,13%,-,08 Sep 2016,02 Oct 2017,12:41
214,Phil t,1504,8,6,3,23,26,81%,15%,4%,26 Oct 2015,02 Oct 2017,12:41
215,Maxatrillion,1504,6,5,-,4,12,92%,-,8%,21 Feb 2016,02 Oct 2017,12:41
216,General Castro,1504,5,7,4,16,29,76%,7%,17%,05 Dec 2016,02 Oct 2017,12:41
217,GoBills2016,1504,5,3,2,17,19,89%,5%,5%,09 Dec 2015,02 Oct 2017,12:41
218,Aegon,1504,3,1,1,12,16,75%,19%,6%,29 Feb 2016,02 Oct 2017,12:41
219,BlueSpheal,1503,22,7,6,11,40,98%,3%,-,20 May 2016,02 Oct 2017,12:41
220,Strooch,1503,18,3,2,5,39,85%,8%,8%,13 Nov 2016,02 Oct 2017,12:41
221,Hurricane,1503,12,3,1,11,24,88%,8%,4%,11 Dec 2015,02 Oct 2017,12:41
222,Lotgewjai,1503,4,6,-,11,16,94%,6%,-,24 Oct 2015,02 Oct 2017,12:41
223,FutureKat,1502,7,14,17,46,72,85%,10%,6%,26 Jul 2016,02 Oct 2017,12:41
224,SteveO,1500,10,7,5,13,38,92%,3%,5%,21 May 2015,02 Oct 2017,12:41
225,Ascot Hammers,1499,11,7,4,26,43,72%,21%,7%,08 Mar 2016,02 Oct 2017,12:41
226,Jacksonisboss,1498,7,1,-,9,12,92%,8%,-,03 Apr 2017,02 Oct 2017,12:41
227,patriots,1497,16,13,10,55,68,90%,10%,-,20 Jan 2016,02 Oct 2017,12:41
228,Muckdog21,1496,11,10,6,29,42,79%,14%,7%,05 Nov 2015,02 Oct 2017,12:41
229,Dr SynisteR,1495,48,43,34,32,177,85%,14%,2%,15 Jan 2016,02 Oct 2017,12:41
230,TommyGun,1494,12,3,-,12,18,89%,-,11%,17 Oct 2015,02 Oct 2017,12:41
231,nmaloney,1494,1,5,7,8,20,85%,10%,5%,19 Jan 2016,02 Oct 2017,12:41
232,Skae,1493,6,5,3,24,31,77%,13%,10%,09 May 2016,02 Oct 2017,12:41
233,Don SelHari,1493,-,8,1,10,11,91%,9%,-,16 Jul 2017,02 Oct 2017,12:41
234,Acuavit,1492,3,2,4,8,14,71%,14%,14%,28 Oct 2015,02 Oct 2017,12:41
235,AngryGnat,1491,15,10,7,48,61,95%,5%,-,16 Oct 2015,02 Oct 2017,12:41
236,jonny red,1491,13,13,6,22,48,90%,8%,2%,16 Dec 2015,02 Oct 2017,12:41
237,TheBlazer,1491,8,12,-,12,25,96%,4%,-,16 Oct 2015,02 Oct 2017,12:41
238,viceview51,1491,6,3,9,19,26,96%,4%,-,05 Oct 2015,02 Oct 2017,12:41
239,DonShotty,1491,4,2,-,5,7,100%,-,-,17 Mar 2016,02 Oct 2017,12:41
240,KrisZ,1491,1,4,3,7,10,100%,-,-,24 Dec 2015,02 Oct 2017,12:41
241,Entrican,1490,7,7,2,15,22,91%,9%,-,28 Jul 2015,02 Oct 2017,12:41
242,Rellim,1490,5,9,3,8,24,83%,8%,8%,23 Oct 2015,02 Oct 2017,12:41
243,theZissou,1490,2,2,5,19,23,78%,9%,13%,31 Aug 2016,02 Oct 2017,12:41
244,sufyuf,1489,29,21,12,26,90,91%,9%,-,16 May 2016,02 Oct 2017,12:41
245,Bigbk90210,1489,21,14,5,70,88,72%,25%,3%,27 Mar 2016,02 Oct 2017,12:41
246,Dweenig,1489,8,3,2,6,24,88%,4%,8%,25 Mar 2017,02 Oct 2017,12:41
247,Tsunami-,1489,6,5,2,6,14,100%,-,-,28 May 2017,02 Oct 2017,12:41
248,kdtallllll,1488,12,23,9,11,52,90%,10%,-,16 Oct 2015,02 Oct 2017,12:41
249,Grelkara,1488,4,6,2,17,22,86%,9%,5%,14 Oct 2015,02 Oct 2017,12:41
250,Juan,1487,8,3,-,7,24,63%,8%,29%,19 Jan 2015,02 Oct 2017,12:41
251,Mason240,1487,7,2,1,13,16,69%,13%,19%,14 Oct 2015,02 Oct 2017,12:41
252,Bignastey,1487,5,2,1,10,13,62%,-,38%,02 Nov 2015,02 Oct 2017,12:41
253,MisfitToys,1485,10,3,1,17,25,100%,-,-,16 Oct 2015,02 Oct 2017,12:41
254,Aslamlevy,1484,20,9,5,38,55,91%,9%,-,11 Nov 2015,02 Oct 2017,12:41
255,Toughcity,1484,10,7,8,36,51,82%,16%,2%,31 Jan 2016,02 Oct 2017,12:41
256,asdf,1484,8,4,1,8,21,81%,5%,14%,31 Jan 2015,02 Oct 2017,12:41
257,Aerial Assault,1483,-,1,4,10,13,100%,-,-,31 May 2016,02 Oct 2017,12:41
258,Otherguy,1482,8,-,3,11,16,81%,13%,6%,01 Jun 2016,02 Oct 2017,12:41
259,Dandale,1482,6,4,8,43,46,89%,2%,9%,03 Dec 2016,02 Oct 2017,12:41
260,Azureangel,1482,5,5,1,15,20,90%,5%,5%,16 Oct 2015,02 Oct 2017,12:41
261,Spy3,1480,15,1,2,13,21,90%,10%,-,15 Oct 2015,02 Oct 2017,12:41
262,mduban4,1480,12,5,1,17,27,100%,-,-,21 Oct 2015,02 Oct 2017,12:41
263,ZekeShepLinc,1479,28,7,11,73,82,67%,18%,15%,23 Oct 2015,02 Oct 2017,12:41
264,Chensta,1479,8,3,-,15,15,87%,7%,7%,24 Feb 2016,02 Oct 2017,12:41
265,Felisens,1479,5,1,1,6,9,100%,-,-,28 Oct 2015,02 Oct 2017,12:41
266,kpav04,1479,4,1,1,6,9,100%,-,-,10 Apr 2016,02 Oct 2017,12:41
267,Forefall,1479,2,2,3,7,8,100%,-,-,18 Oct 2015,02 Oct 2017,12:41
268,RoadRash333,1479,1,6,-,10,13,69%,8%,23%,23 Nov 2015,02 Oct 2017,12:41
269,Raptor040,1478,11,5,5,33,36,94%,6%,-,16 Oct 2015,02 Oct 2017,12:41
270,flydarkwings805,1478,4,12,7,30,38,89%,5%,5%,30 May 2016,02 Oct 2017,12:41
